Internal ID,project internal ID,Name,customer internal ID,Customer,Class,Contract Date,Start Date,Status,Project Type,Projected End Date
1529,1529,AbbVie : Abbvie Annual Retainer 2014,19,AbbVie,,12/2/2014,12/2/2014, ,,
1530,1530,AbbVie : Abbvie Annual Retainer 2015,19,AbbVie,,9/18/2015,12/1/2015, ,,
13483,13483,AbbVie : AbbVie Annual Retainer 2016,19,AbbVie,,12/7/2016,12/1/2016,Awarded,,
1531,1531,AbbVie : Abbvie SoP 2016,19,AbbVie,,2/19/2016,2/12/2016, ,,
2629,2629,Acxiom : Acxiom Activism 2016,20,Acxiom,,9/8/2016,9/8/2016, ,,
1532,1532,Acxiom : Acxiom SoP 2016,20,Acxiom,,2/26/2016,2/26/2016, ,,
1533,1533,ADP Inc : ADP Annual Retainer 2016,21,ADP Inc,,1/20/2016,1/1/2016, ,,
13481,13481,ADP Inc : ADP Annual Retainer 2017,21,ADP Inc,,12/22/2016,1/1/2017,Awarded,,
13482,13482,ADP Inc : ADP E&S 2017,21,ADP Inc,,12/22/2016,1/1/2017,Awarded,,
1534,1534,Aetna : Aetna M&A 2015,22,Aetna,,5/24/2015,5/24/2015, ,,
1535,1535,Aflac : Aflac Annual Retainer 2015,23,Aflac,,10/1/2015,10/1/2015, ,,
1536,1536,Agilent Technologies : Agilent Technologies SoP 2015,24,Agilent Technologies,,3/4/2015,3/4/2015, ,,
1537,1537,AIG : AIG Activism 2015,25,AIG,,6/29/2015,6/29/2015, ,,
1538,1538,AIG : AIG Activism 2016,25,AIG,,1/14/2016,1/14/2016, ,,
16157,16157,AIG : AIG Activism 2017,25,AIG,M&A,2/9/2017,1/25/2017,Awarded,,
2630,2630,Air Lease Corporation : Air Lease SoP 2016,2432,Air Lease Corporation,,8/10/2016,8/10/2016, ,,
1539,1539,"Air Products and Chemicals, Inc. : Air Products Activism 2013",1425,"Air Products and Chemicals, Inc.",,8/30/2013,8/30/2013, ,,
1540,1540,Alexander & Baldwin : Alexander & Baldwin Activism 2015,26,Alexander & Baldwin,,10/16/2015,10/16/2015, ,,
2730,2730,Allergan : Allergan Annual Retainer 2016,1524,Allergan,,6/29/2016,6/29/2016, ,,
16562,16562,Allergan : Allergan Shareholder Proposal 2016,1524,Allergan,Shareholder Proposal,6/29/2017,6/29/2016,Awarded,,
1541,1541,Allergan : Allergan SoP 2016,1524,Allergan,,6/29/2016,6/29/2016,Awarded,,
16563,16563,Allergan : Allergan Vote No 2016,1524,Allergan,Vote No,6/29/2017,6/29/2017,Awarded,,
2631,2631,Allstate : Allstate Annual Retainer 2016,2429,Allstate,,7/14/2016,7/14/2016, ,,
16711,16711,Allstate : Allstate Annual Retainer 2017,2429,Allstate,Annual Retainer,6/6/2017,7/1/2017,Awarded,,
2632,2632,Allstate : Allstate Shareholder Proposal 2017,2429,Allstate,,7/14/2016,7/14/2016, ,,
1542,1542,AMC Networks : AMC Networks Annual Retainer 2015,27,AMC Networks,,2/5/2015,2/5/2015, ,,
1543,1543,AMC Networks : AMC Networks Annual Retainer 2016,27,AMC Networks,,3/7/2016,2/1/2016, ,,
16674,16674,AMC Networks : AMC Networks Annual Retainer 2017,27,AMC Networks,Annual Retainer,1/12/2017,2/1/2017,Awarded,,
16564,16564,American Express : American Express SoP 2017,15220,American Express,SoP,4/14/2017,4/14/2017,Awarded,,
1544,1544,Amgen : Amgen Annual Retainer 2016,28,Amgen,,2/25/2016,2/24/2016, ,,
2837,2837,Aflac : Annual Retainer 2017,23,Aflac,,8/31/2016,9/1/2016,Awarded,,
