Customer Internal ID,Client,Service Type,Contract Date
76,HP Inc,Annual Retainer,23-Jun-17
135,XL Group,SoP,15-Jun-17
119,Texas Instruments,Annual Retainer,9-Jun-17
2429,Allstate,Annual Retainer,6-Jun-17
79,JPMorgan,Annual Retainer,30-May-17
12567,Republic Services,Annual Retainer,30-May-17
16043,LendingClub,Annual Retainer,26-May-17
1444,Exelon,Annual Retainer,25-May-17
16042,ConocoPhillips,SoP,24-May-17
15011,Freeport,Annual Retainer,23-May-17
15011,Freeport,SoP,23-May-17
16050,MSG Networks,Other,19-May-17
38,BHP,Activism,17-May-17
1452,Intercontinental Exchange,Other,16-May-17
31,Atlas,Annual Retainer,15-May-17
31,Atlas,SoP,15-May-17
31,Atlas,Vote No,15-May-17
16048,Legg Mason,SoP,2-May-17
78,Intuit,Annual Retainer,1-May-17
115,Sysco,Annual Retainer,1-May-17
115,Sysco,Other,1-May-17
115,Take Two Interactive,Annual Retainer,1-May-17
115,Take Two Interactive,Shareholder Proposal,1-May-17
15737,CVS Health,Annual Retainer,27-Apr-17
15737,CVS Health,SoP,27-Apr-17
47,Cardinal Health,Annual Retainer,25-Apr-17
1447,Gilead Sciences,Annual Retainer,25-Apr-17
15634,Wells Fargo,Vote No,22-Apr-17
15635,Knowles,Annual Retainer,21-Apr-17
15635,Knowles,SoP,21-Apr-17
15220,American Express,SoP,14-Apr-17
1428,Autodesk,Other,13-Apr-17
14909,Mylan,SoP,11-Apr-17
74,Honeywell,Annual Retainer,10-Apr-17
15013,Universal Insurance,SoP,31-Mar-17
28,Apache,Annual Retainer,30-Mar-17
15011,Fiesta,Activism,30-Mar-17
87,Mattel,SoP,28-Mar-17
79,JPMorgan,Other,27-Mar-17
79,JPMorgan,Shareholder Proposal,27-Mar-17
79,JPMorgan,SoP,27-Mar-17
14909,Mylan,Other,27-Mar-17
103,Pfizer,Other,24-Mar-17
31,AT&T,Annual Retainer,22-Mar-17
15012,Range Resources,Annual Retainer,20-Mar-17
93,MSG,Activism,17-Mar-17
93,MSG,Vote No,17-Mar-17
2436,Ebay,Annual Retainer,13-Mar-17
1434,Cisco,Annual Retainer,8-Mar-17
135,XL Group,Annual Retainer,2-Mar-17
135,XL Group,SoP,2-Mar-17
33,Avery Dennison,Annual Retainer,1-Mar-17
103,Pfizer,Annual Retainer,28-Feb-17
14508,Banc of California,Annual Retainer,24-Feb-17
97,News Corp,Annual Retainer,24-Feb-17
46,California Resources,Other,23-Feb-17
14507,Baker Hughes,M&A,10-Feb-17
109,Salesforce,Annual Retainer,10-Feb-17
109,Salesforce,SoP,10-Feb-17
25,AIG,Activism,9-Feb-17
12567,Republic Services,Other,8-Feb-17
111,Simpson Manufacturing ,Activism,31-Jan-17
39,BorgWarner,Annual Retainer,24-Jan-17
39,BorgWarner,SoP,24-Jan-17
1442,Disney,Annual Retainer,24-Jan-17
1442,Disney,SoP,24-Jan-17
2431,Neustar,Other,23-Jan-17
1452,Intercontinental Exchange,Annual Retainer,18-Jan-17
27,AMC Networks,Annual Retainer,12-Jan-17
15013,US Steel,Annual Retainer,12-Jan-17
91,Microsoft,Annual Retainer,9-Jan-17
82,Kroger,Annual Retainer,6-Jan-17
82,Kroger,Other,6-Jan-17
123,Time Warner Inc,M&A,6-Jan-17
123,Time Warner Inc,Other,6-Jan-17
14508,Bank of America,Annual Retainer,1-Jan-17
20,ADP,Annual Retainer,22-Dec-16
20,ADP,Other,22-Dec-16
132,Vornado,Annual Retainer,20-Dec-16
83,LabCorp,Annual Retainer,14-Dec-16
16042,Corning,Annual Retainer,8-Dec-16
19,Abbvie,Annual Retainer,7-Dec-16
80,Kilroy,Annual Retainer,6-Dec-16
93,MSG,Other,28-Nov-16
75,HP Enterprise,Annual Retainer,26-Nov-16
16043,Leucadia,Annual Retainer,22-Nov-16
16043,Leucadia,SoP,22-Nov-16
132,Walgreens,Annual Retainer,22-Nov-16
8158,RPX,Annual Retainer,17-Nov-16
8158,RPX,Other,17-Nov-16
56,Dover Corporation,Annual Retainer,16-Nov-16
56,Dover Corporation,Other,16-Nov-16
99,Northrop Grumman ,Annual Retainer,5-Nov-16
55,Delta Air Lines,Annual Retainer,4-Nov-16
61,Edwards Lifesciences,Annual Retainer,1-Nov-16
69,General Mills,Annual Retainer,1-Nov-16
8157,Wolverine,SoP,26-Oct-16
8156,Citigroup,Annual Retainer,17-Oct-16
8156,Citigroup,SoP,17-Oct-16
80,Kate Spade,Annual Retainer,13-Oct-16
101,Omnicom,Annual Retainer,11-Oct-16
68,General Dynamics,Annual Retainer,7-Oct-16
2838,Applied Materials,SoP,30-Sep-16
110,Sempra Energy,Annual Retainer,30-Sep-16
110,Sempra Energy,SoP,30-Sep-16
71,Goodyear,Annual Retainer,21-Sep-16
93,MSG,Annual Retainer,16-Sep-16
1528,Western Digital,SoP,14-Sep-16
20,Acxiom,Activism,8-Sep-16
79,Kaiser Aluminum,Annual Retainer,7-Sep-16
58,Duke Energy,Annual Retainer,2-Sep-16
23,Aflac,Annual Retainer,31-Aug-16
88,McDermott,Annual Retainer,25-Aug-16
90,MDC Holdings,Annual Retainer,11-Aug-16
90,MDC Holdings,SoP,11-Aug-16
25,Air Lease,SoP,10-Aug-16
62,Equifax,Annual Retainer,10-Aug-16
59,Dycom,Annual Retainer,4-Aug-16
87,Mattel,Annual Retainer,4-Aug-16
