SO#|OrderNumber|Priority|PO|ShipTo Name|FreightTerms|FreightAmount|CarrierService|TotalCartons|TotalWeight|ShipDate|Sku|QtyShipped|LineNumber|Carton#|IsTaped|PackageLineNumber|TrackingNumber|Original Order #
123720-3|0000638739|3|72904RD|Yolk|PREPAID|23.4200|UPS|2|13.8180|06/05/2017|TUG01R-A|9|00001|1|0|00001|1Z6WA0550302859413|123720
123720-3|0000638739|3|72904RD|Yolk|PREPAID|23.4200|UPS|2|13.8180|06/05/2017|SNDA-1024|6|00002|2|0|00002|1Z6WA0550302859422|123720
124206-2|0000638790|3|17123218953|Fat Brain Toys|COLLECT|0.0000|UPS|1|11.8380|06/05/2017|BLKA-1110|6|00001|1|0|00001|1Z6WA0550302858183|124206
124306-2|0000638791|3|78108DW|Kids At Heart - Portland|PREPAID|16.2400|UPS|1|11.8380|06/05/2017|BLKA-1110|6|00001|1|0|00001|1Z6WA0550302858192|124306
124326-3|0000638793|3|170510KD07|Whole Earth Provision Co.|PREPAID|56.1800|UPS|2|23.6760|06/05/2017|BLKA-1110|6|00001|1|0|00001|1Z6WA0550302858209|124326
124326-3|0000638793|3|170510KD07|Whole Earth Provision Co.|PREPAID|56.1800|UPS|2|23.6760|06/05/2017|BLKA-1110|6|00001|2|0|00002|1Z6WA0550302858361|124326
124444-2|0000638795|3|423969DO|Kappa Toys|PREPAID|21.8800|UPS|2|5.7600|06/05/2017|MVT1-1164|24|00001|1|0|00001|1Z6WA0550302858307|124444
124444-2|0000638795|3|423969DO|Kappa Toys|PREPAID|21.8800|UPS|2|5.7600|06/05/2017|MVT1-1164|24|00001|2|0|00002|1Z6WA0550302858496|124444
124490-2|0000638796|3||Sugarlump|COLLECT|0.0000|UPS|1|11.8380|06/05/2017|BLKA-1110|6|00001|1|0|00001|1Z6WA0550302858218|124490
124585-3|0000638798|3|2647|Recology|PREPAID|19.3200|UPS|1|11.8380|06/05/2017|BLKA-1110|6|00001|1|0|00001|1Z6WA0550302858227|124585
124627-2|0000638799|3|232687be|Cooleykatz Toys|PREPAID|20.5500|UPS|2|11.3000|06/05/2017|CCRB-1237|4|00001|1|0|00001|1Z6WA0550302858263|124627
124627-2|0000638799|3|232687be|Cooleykatz Toys|PREPAID|20.5500|UPS|2|11.3000|06/05/2017|WAGO-1227|2|00002|2|0|00002|1Z6WA0550302858772|124627
124635-2|0000638800|3|po06843 rm|Smiley Bros. Inc.|PREPAID|13.1500|UPS|1|2.8800|06/05/2017|MVT1-1164|24|00001|1|0|00001|1Z6WA0550302858316|124635
124644-4|0000638802|3|05222017|Fredericksburg Natural Baby|PREPAID|69.8400|UPS|2|22.8000|06/05/2017|CST3-1209|4|00001|1|0|00001|1Z6WA0550302858290|124644
124644-4|0000638802|3|05222017|Fredericksburg Natural Baby|PREPAID|69.8400|UPS|2|22.8000|06/05/2017|CST3-1209|4|00001|2|0|00002|1Z6WA0550302858414|124644
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|SNDA-1024|6|00001|1|0|00001|1Z6WA0550302858343|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|SNDA-1024|6|00001|2|0|00002|1Z6WA0550302858585|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|SNDA-1024|6|00001|3|0|00003|1Z6WA0550302858594|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|SNDA-1024|6|00001|4|0|00004|1Z6WA0550302858601|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|SNDA-1024|6|00001|5|0|00005|1Z6WA0550302858610|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|SNDA-1024|6|00001|6|0|00006|1Z6WA0550302858629|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|MVT1-1164|24|00002|7|0|00007|1Z6WA0550302858503|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|MVT1-1164|24|00002|8|0|00008|1Z6WA0550302858512|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|MVT1-1164|24|00002|9|0|00009|1Z6WA0550302858521|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|MVT1-1164|24|00002|10|0|00010|1Z6WA0550302858530|124645
124645-2|0000638803|3|2792|Continuum Games|PREPAID|260.6300|UPS|11|65.8800|06/05/2017|MVT1-1164|24|00002|11|0|00011|1Z6WA0550302858549|124645
124664-2|0000638804|3|96012LG|Thinker Toys - Portland|PREPAID|10.9400|UPS|1|2.8800|06/05/2017|MVT1-1164|24|00001|1|0|00001|1Z6WA0550302858325|124664
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|SSH17|1|00001|1|0|00001|1Z6WA0550302858816|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|SUBA-1034|8|00002|2|0|00002|1Z6WA0550302858825|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|STUG-1180|6|00003|3|0|00003|1Z6WA0550302858834|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|SWD3-1254|4|00004|4|0|00004|1Z6WA0550302858843|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|SWSC2-1265|6|00005|5|0|00005|1Z6WA0550302858852|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|SWSC2-1265|6|00005|6|0|00006|1Z6WA0550302858861|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|SNDA-1024|6|00006|7|0|00007|1Z6WA0550302858870|124683
124683-1|0000638805|3||The Dry Dock|PREPAID|143.4100|UPS|8|56.0600|06/05/2017|WTCG-1111|6|00007|8|0|00008|1Z6WA0550302858889|124683
124730-2|0000638806|3|168335DH|DJ Drugs|PREPAID|13.1500|UPS|1|2.8800|06/05/2017|MVT1-1164|24|00001|1|0|00001|1Z6WA0550302858334|124730
124734-45|0000638807|3|NM145A3R|Ingram Book Company|PREPAID|32.4800|UPS|1|11.8380|06/05/2017|BLKA-1110|6|00001|1|0|00001|1Z6WA0550302858236|124734
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|CCRB-1237|4|00001|1|0|00001|1Z6WA0550302858272|124798
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|CCRB-1237|4|00001|2|0|00002|1Z6WA0550302858370|124798
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|CCRB-1237|4|00001|3|0|00003|1Z6WA0550302858389|124798
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|FRBA-1038|6|00002|4|0|00004|1Z6WA0550302858450|124798
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|FRBA-1038|6|00002|5|0|00005|1Z6WA0550302858469|124798
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|SSEA-1072|4|00003|6|0|00006|1Z6WA0550302858656|124798
124798-1|0000638808|3|EN000394293|Event Network|THIRDPARTY|0.0000|UPS|7|54.3640|06/05/2017|SSEA-1072|4|00003|7|0|00007|1Z6WA0550302858665|124798
124799-1|0000638809|3|EN000394275|Event Network|THIRDPARTY|0.0000|UPS|6|42.5600|06/05/2017|CCRB-1237|4|00001|1|0|00001|1Z6WA0550302858281|124799
124799-1|0000638809|3|EN000394275|Event Network|THIRDPARTY|0.0000|UPS|6|42.5600|06/05/2017|CCRB-1237|4|00001|2|0|00002|1Z6WA0550302858398|124799
124799-1|0000638809|3|EN000394275|Event Network|THIRDPARTY|0.0000|UPS|6|42.5600|06/05/2017|SECA-1065|6|00002|3|0|00003|1Z6WA0550302858567|124799
