Inventory Transfer : Category,Inventory Transfer : Date,Inventory Transfer : Department,Inventory Transfer : ExternalId,Inventory Transfer : From Location,Inventory Transfer : Internal ID,Inventory Transfer : Memo,Inventory Transfer : Posting Period,Inventory Transfer : Ref. No.,Inventory Transfer : To Location,Inventory Transfer Items : Item,Inventory Transfer Items : Line,Inventory Transfer Items : Qty. To Transfer,Inventory Transfer Items : Units,External ID
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,AKCC-1194,1,5,,EXT_3799
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,AKFC-1193,2,0,,EXT_3798
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,AKVC-1192,3,49,,EXT_3797
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKA-2PKA,4,673.92,,EXT_3790
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKA-2PKB,5,701.92,,EXT_3791
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKA-2PKC,6,664.92,,EXT_3792
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKIND-PVY,7,0,,EXT_3787
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKIND-VYP,8,0,,EXT_3789
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKIND-YPV,9,0,,EXT_3788
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLAKA-ASSY,10,1249,,EXT_3774
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLAKB-ASSY,11,1249,,EXT_3775
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLAKC-ASSY,12,1249,,EXT_3776
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLAKD-ASSY,13,1249,,EXT_3777
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLWA-1012,14,6452,,EXT_618
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLWA2-1285,15,4514,,EXT_4274
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,LBBK-1191,16,3,,EXT_3941
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,SCBK-1190,17,1909,,EXT_3940
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy Buckets w/ Rope and,18,0,,EXT_1569
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy CHP1 - KS,19,5472,,EXT_1464
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SLDA - Pride,20,0,,EXT_1551
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWB1-1174 (Pride),21,0,,EXT_1567
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWB2-1175 Pride,22,0,,EXT_1568
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWD1-1176 (Pride),23,2900,,EXT_1570
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWD2-1177 (Pride),24,1400,,EXT_1571
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWDR-1169 (Pride),25,0,,EXT_1572
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWRB-1171 (Pride),26,0,,EXT_1573
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWSB-1172 (Pride),27,800,,EXT_1574
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWSC-1170 (Pride),28,0,,EXT_1575
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWSE-1173 (Pride),29,0,,EXT_1576
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,BLT01R,30,25354,,EXT_361
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,BUN01R-B,31,875,,EXT_267
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,BUN01R-T,32,2085,,EXT_276
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,BUR01R,33,2218,,EXT_282
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,BWLY-SLDA,34,3414,,EXT_256
,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CAK-PK,35,23,,EXT_3782
