Internal ID,Name,Display Name,Description,Type,Preferred Location
3799,AKCC-1194,AKCC-1194,Cupcakes Coloring & Activity Kit ,Assembly/Bill of Materials,153 Tigers Hayward
3798,AKFC-1193,AKFC-1193,Flowers Coloring & Activity Kit ,Assembly/Bill of Materials,154 Tigers Hayward
3797,AKVC-1192,AKVC-1192,Vehicles Coloring & Activity Kit,Assembly/Bill of Materials,155 Tigers Hayward
3790,CCKA-2PKA,CCKA-2PKA,Cupcake 2 Pack Version A (PVY + YPV),Assembly/Bill of Materials,176 Tigers Hayward
3791,CCKA-2PKB,CCKA-2PKB,Cupcake 2 Pack Version B (YPV+VYP),Assembly/Bill of Materials,177 Tigers Hayward
3792,CCKA-2PKC,CCKA-2PKC,Cupcake 2 Pack Version C (VYP+PVY),Assembly/Bill of Materials,178 Tigers Hayward
3787,CCKIND-PVY,CCKIND-PVY,"Cupcake (Individual) - Pink Frosting, Vanilla Cake, Yellow Liner",Assembly/Bill of Materials,179 Tigers Hayward
3789,CCKIND-VYP,CCKIND-VYP,"Cupcake (Individual) - Vanilla Frosting, Yellow Cake, Pink Liner",Assembly/Bill of Materials,180 Tigers Hayward
3788,CCKIND-YPV,CCKIND-YPV,"Cupcake (Individual) - Yellow Frosting, Pink Cake, Vanilla Liner",Assembly/Bill of Materials,181 Tigers Hayward
3774,FLAKA-ASSY,FLAKA-ASSY,Flower- Activity kit assembly A ,Assembly/Bill of Materials,202 Tigers Hayward
3775,FLAKB-ASSY,FLAKB-ASSY,Flower- Activity kit assembly B,Assembly/Bill of Materials,203 Tigers Hayward
3776,FLAKC-ASSY,FLAKC-ASSY,Flower- Activity kit assembly C,Assembly/Bill of Materials,204 Tigers Hayward
3777,FLAKD-ASSY,FLAKD-ASSY,Flower- Activity kit assembly D,Assembly/Bill of Materials,205 Tigers Hayward
618,FLWA-1012,FLWA-1012,Green Toys Build-a-Bouquet,Assembly/Bill of Materials,209 Tigers Hayward
4274,FLWA2-1285,FLWA2-1285,Green Toys Build-a-Bouquet 4C ,Assembly/Bill of Materials,210 Tigers Hayward
3941,LBBK-1191,LBBK-1191,Book & Launch Boat Set - Closed Box ,Assembly/Bill of Materials,220 Tigers Hayward
3940,SCBK-1190,SCBK-1190,Book & Scooper Set - Closed Box ,Assembly/Bill of Materials,319 Tigers Hayward
1569,Assy Buckets w/ Rope and,Assy Buckets w/ Rope and,Buckets w/ Rope and Tag (Pride)................,Inventory Item,156 Tigers Hayward
1464,Assy CHP1 - KS,Assy CHP1 - KS,Character 4-Pack (CHP1) Assemby Cost (KS),Inventory Item,157 Tigers Hayward
1551,Assy SLDA - Pride,Assy SLDA - Pride,Salad Set (SLDA) Assembly - Pride,Inventory Item,158 Tigers Hayward
1567,Assy SWB1-1174 (Pride),Assy SWB1-1174 (Pride),Sand & Water Bucket 1 (Pride)............,Inventory Item,159 Tigers Hayward
