Internal ID,Name,Display Name,Description,Type,Inventory Location,Location,Location On Hand,Formula (Numeric)
3698,AKBKCCK,AKBKCCK,Activity Book - Cupcakes  ,Inventory Item,Pride Industries,,2032,2032
3697,AKBKFLW,AKBKFLW,Activity Book - Flowers ,Inventory Item,Pride Industries,,5217,5217
3696,AKBKVEH,AKBKVEH,Activity Book - Vehicles ,Inventory Item,Pride Industries,,413,413
3711,AKSTKCCK,AKSTKCCK,Activity Kit Stickers - Cupcake - 6x6; Envi PCW100; 500 units/cs flat packed ,Inventory Item,Pride Industries,,5934,5934
3708,AKSTKFLW,AKSTKFLW,Activity Kit Stickers - Flowers - 6x6; Envi PCW100; 500 units/cs flat packed ,Inventory Item,Pride Industries,,9757,9757
3703,AKSTKVEH,AKSTKVEH,Activity Kit Stickers - Vehicle - 6x6; Envi PCW100; 500 units/cs flat packed ,Inventory Item,Pride Industries,,4753,4753
1755,BEAR-COND-BLUE-7461C,BEAR-COND-BLUE-7461C,Conductor Bear - TOOLSET BLUE 7461C -  CC10117561WE - Bulk Packed,Inventory Item,Pride Industries,,184,184
2171,BEAR-PILOT-SEA BLUE 298C,BEAR-PILOT-SEA BLUE 298C,Seacopter Bear - 298C BLUE PCR 9607S -  CC10126254WE - Bulk Packed,Inventory Item,Pride Industries,,356,356
1760,BEAR-PILOT-SEA ORANGE 151C,BEAR-PILOT-SEA ORANGE 151C,Seacopter Bear - 2151C ORANGE PCR 9607 -  CC10134932WE - Bulk Packed,Inventory Item,Pride Industries,,60,60
3069,BKBT-4341,BKBT-4341,Green Toys Book: Boats Built for Speed with Davey & Pearl....,Inventory Item,Pride Industries,,5,5
3070,BKTK-4342,BKTK-4342,"Green Toys Book: Mixed-Up Trucks with Baxter, Rosie & Gus....",Inventory Item,Pride Industries,,120,120
3071,BKTN-4340,BKTN-4340,Green Toys Book: Train off the Rails with Kody and Dot..,Inventory Item,Pride Industries,,144,144
281,BRD01R,BRD01R,Sandwich Shop Sliced Bread,Inventory Item,Pride Industries,,836,836
793,BTLB-1103,BTLB-1103,GT  Launch Boat - Blue,Inventory Item,Pride Industries,,5,5
2153,BTLB-ASSY,BTLB-ASSY,Green Toys Launch Boat (Blue) Assembly,Inventory Item,Pride Industries,,9.76,9.76
