Internal ID,Name,NEW LOCATION
137,DTK01R,153 Tigers Hayward
221,MES01R,153 Tigers Hayward
222,SUG02R-Y,153 Tigers Hayward
223,SUG02R-PK2,153 Tigers Hayward
224,LID02R-Y,153 Tigers Hayward
225,LID02R-G,153 Tigers Hayward
226,TOP01R-RD,153 Tigers Hayward
227,LID02R,153 Tigers Hayward
230,FLW-STEM-GR-LRG,153 Tigers Hayward
231,FLW-STEM-GR-SML,153 Tigers Hayward
232,KTB01R-B,153 Tigers Hayward
233,POT01R-RD,153 Tigers Hayward
238,SCP01R-GR,153 Tigers Hayward
239,SCP01R-PR,153 Tigers Hayward
240,SPT01R-YW,153 Tigers Hayward
241,TOM01R-R,153 Tigers Hayward
242,CON01R-GR,153 Tigers Hayward
243,KTB01R,153 Tigers Hayward
244,LAD01R-YW,153 Tigers Hayward
245,LID01R-Y,153 Tigers Hayward
246,PEP01R-R,153 Tigers Hayward
247,SCF01R-GR,153 Tigers Hayward
248,CON01R-PR,153 Tigers Hayward
249,FLW-BASE-BR,153 Tigers Hayward
250,SCF01R-PR,153 Tigers Hayward
252,HAN01R-GR,153 Tigers Hayward
253,HAN01R-YW,153 Tigers Hayward
255,ONI01R,153 Tigers Hayward
256,BWLY-SLDA,153 Tigers Hayward
257,SAU01R-PR,153 Tigers Hayward
258,KTB01R-PK2,153 Tigers Hayward
259,SAU01R-B,153 Tigers Hayward
260,CRM01R-R,153 Tigers Hayward
261,CUP01R-R,153 Tigers Hayward
262,HAM01R-GR,153 Tigers Hayward
263,RAK01R-YW,153 Tigers Hayward
264,SHV01R-GR,153 Tigers Hayward
265,BUC01R-BL,153 Tigers Hayward
266,BUC01R-PK,153 Tigers Hayward
267,BUN01R-B,153 Tigers Hayward
268,HAM01R-PR,153 Tigers Hayward
269,PLI01R-YW,153 Tigers Hayward
270,RAK01R-GR,153 Tigers Hayward
271,SHV01R-YW,153 Tigers Hayward
272,WRE01R-YW,153 Tigers Hayward
273,PLI01R-GR,153 Tigers Hayward
274,TBX01R-PK,153 Tigers Hayward
275,WRE01R-GR,153 Tigers Hayward
276,BUN01R-T,153 Tigers Hayward
277,CKN01R,153 Tigers Hayward
279,SAW01R-YW,153 Tigers Hayward
280,TOM01R-G,153 Tigers Hayward
281,BRD01R,153 Tigers Hayward
282,BUR01R,153 Tigers Hayward
283,PEP01R-G,153 Tigers Hayward
284,SAW01R-GR,153 Tigers Hayward
285,SPK01R-SLDA,153 Tigers Hayward
286,SPN01R-SLDA,153 Tigers Hayward
287,CUT01R,153 Tigers Hayward
288,SAU01R-P,153 Tigers Hayward
290,STSA-OP,153 Tigers Hayward
293,DAISY-LRG-PR,153 Tigers Hayward
294,DAISY-LRG-YW,153 Tigers Hayward
295,DAISY-SML-PR,153 Tigers Hayward
296,DAISY-SML-YW,153 Tigers Hayward
298,MSH01R,153 Tigers Hayward
299,PPR01R,153 Tigers Hayward
301,STPA-OP,153 Tigers Hayward
305,LILY-LRG-PR,153 Tigers Hayward
306,LILY-LRG-YW,153 Tigers Hayward
307,LILY-SML-PR,153 Tigers Hayward
308,LILY-SML-YW,153 Tigers Hayward
309,LTC01R,153 Tigers Hayward
310,MLD01R,153 Tigers Hayward
311,PETUNIA-PLG-PR,153 Tigers Hayward
312,PETUNIA-PLG-YW,153 Tigers Hayward
313,PKL01R,153 Tigers Hayward
314,SLDA-OIL,153 Tigers Hayward
316,CHS01R-S,153 Tigers Hayward
318,DAISY-LRG-PK,153 Tigers Hayward
319,DAISY-SML-PK,153 Tigers Hayward
322,DAISY-PLG-PR,153 Tigers Hayward
323,DAISY-PLG-YW,153 Tigers Hayward
324,LID02R-PK2,153 Tigers Hayward
325,LILY-LRG-PK,153 Tigers Hayward
326,LILY-SML-PK,153 Tigers Hayward
327,PETUNIA-PLG-PK,153 Tigers Hayward
331,CST01R,153 Tigers Hayward
332,LID01R-PK2,153 Tigers Hayward
333,LILY-PLG-PR,153 Tigers Hayward
334,LILY-PLG-YW,153 Tigers Hayward
335,PLT01R,153 Tigers Hayward
336,SHV01R,153 Tigers Hayward
337,SLDA-PEP,153 Tigers Hayward
338,BUC01R,153 Tigers Hayward
339,DAISY-PLG-PK,153 Tigers Hayward
343,SLDA-VIN,153 Tigers Hayward
344,CRM01R-PK2,153 Tigers Hayward
345,CUP01R-PK2,153 Tigers Hayward
346,LILY-PLG-PK,153 Tigers Hayward
347,PETUNIA-PR,153 Tigers Hayward
348,PETUNIA-YW,153 Tigers Hayward
349,RAK01R,153 Tigers Hayward
350,SAU01R,153 Tigers Hayward
351,SLDA-SAL,153 Tigers Hayward
352,PETUNIA-PK,153 Tigers Hayward
354,SPN01R-PK2,153 Tigers Hayward
358,KNF01R,153 Tigers Hayward
359,SPN01R,153 Tigers Hayward
360,FRK01R,153 Tigers Hayward
361,BLT01R,153 Tigers Hayward
362,NAI01R,153 Tigers Hayward
363,NUT01R,153 Tigers Hayward
411,PKGFLWARIS02,153 Tigers Hayward
412,PKGSTPRIS,153 Tigers Hayward
413,PKGFLWARIS01,153 Tigers Hayward
414,PKGTEAMCT02,153 Tigers Hayward
415,PKGTLSRTL02,153 Tigers Hayward
419,PKGSTPMCT02,153 Tigers Hayward
420,PKGTEARTL02,153 Tigers Hayward
429,PKGTLSMCT02,153 Tigers Hayward
431,PKGSTPRIS02,153 Tigers Hayward
435,PKGTEARIST02,153 Tigers Hayward
441,PKGFLWAMCT,153 Tigers Hayward
444,PKGSTSMCT,153 Tigers Hayward
451,PKGFLWARTL,153 Tigers Hayward
452,PKGSLDAMCT,153 Tigers Hayward
453,PKGSLDARTL,153 Tigers Hayward
459,PKGTEARISB,153 Tigers Hayward
461,PKGSTSRTL,153 Tigers Hayward
618,FLWA-1012,153 Tigers Hayward
793,BTLB-1103,153 Tigers Hayward
794,BTRO-1104,153 Tigers Hayward
796,BTSG-1102,153 Tigers Hayward
1034,PKGSTPRTL02,153 Tigers Hayward
1035,CHS01R-P,153 Tigers Hayward
1037,TBX01R-BL,153 Tigers Hayward
1038,SAU01R-LV2,153 Tigers Hayward
1042,TLSB-1019,153 Tigers Hayward
1458,PKGDKDGTHRM,153 Tigers Hayward
1469,PKGCSCARTL,153 Tigers Hayward
1481,MFBR-ASSY,153 Tigers Hayward
1755,BEAR-COND-BLUE-7461C,153 Tigers Hayward
1756,DOG-CONST-GREEN362,153 Tigers Hayward
1757,PKGCHP1RTL,153 Tigers Hayward
1758,PKGCHP1THRMT,153 Tigers Hayward
1759,PKGCHP1MCT,153 Tigers Hayward
1760,BEAR-PILOT-SEA ORANGE 151C,153 Tigers Hayward
1761,PKGCHP1THRMB,153 Tigers Hayward
1763,STCA-ASSY,153 Tigers Hayward
1764,PKG18x9x9,153 Tigers Hayward
1765,PKG24x12x8,153 Tigers Hayward
1766,PKG12x9x6,153 Tigers Hayward
1767,SEAY-ASSY,153 Tigers Hayward
1768,SEAG-ASSY,153 Tigers Hayward
1769,PKG16x12x10,153 Tigers Hayward
2151,PKGSNWHDR2,153 Tigers Hayward
2152,BTRO-ASSY,153 Tigers Hayward
2153,BTLB-ASSY,153 Tigers Hayward
2154,DUCK-YELLOW,153 Tigers Hayward
2156,PKGSNWTAG,153 Tigers Hayward
2157,DMP01R,153 Tigers Hayward
2159,MES02R,153 Tigers Hayward
2162,BTSG-ASSY,153 Tigers Hayward
2166,PKGSNWHDR1,153 Tigers Hayward
2167,CDPA-ASSY,153 Tigers Hayward
2168,RBH1-ASSY,153 Tigers Hayward
2169,HELY-ASSY,153 Tigers Hayward
2171,BEAR-PILOT-SEA BLUE 298C,153 Tigers Hayward
2251,PKG15x15x10,153 Tigers Hayward
2252,PKG20x15x9,153 Tigers Hayward
2253,PKG15x11x11,153 Tigers Hayward
3069,BKBT-4341,153 Tigers Hayward
3070,BKTK-4342,153 Tigers Hayward
3071,BKTN-4340,153 Tigers Hayward
3696,AKBKVEH,153 Tigers Hayward
3697,AKBKFLW,153 Tigers Hayward
3698,AKBKCCK,153 Tigers Hayward
3702,CRYNVEH,153 Tigers Hayward
3703,AKSTKVEH,153 Tigers Hayward
3704,PKGAKFBRTL,153 Tigers Hayward
3705,PKGAKAMCT,153 Tigers Hayward
3706,PKGAKCRYN,153 Tigers Hayward
3707,CRYNFLW,153 Tigers Hayward
3708,AKSTKFLW,153 Tigers Hayward
3709,PKGAKFLRTL,153 Tigers Hayward
3710,CRYNCCK,153 Tigers Hayward
3711,AKSTKCCK,153 Tigers Hayward
3712,PKGAKCCRTL,153 Tigers Hayward
3774,FLAKA-ASSY,153 Tigers Hayward
3775,FLAKB-ASSY,153 Tigers Hayward
3776,FLAKC-ASSY,153 Tigers Hayward
3777,FLAKD-ASSY,153 Tigers Hayward
3778,FRST-PK,153 Tigers Hayward
3779,CAK-VN,153 Tigers Hayward
3780,LNR-YW,153 Tigers Hayward
3781,FRST-YW,153 Tigers Hayward
3782,CAK-PK,153 Tigers Hayward
3783,LNR-VN,153 Tigers Hayward
3784,FRST-VN,153 Tigers Hayward
3786,LNR-PK,153 Tigers Hayward
3790,CCKA-2PKA,153 Tigers Hayward
3791,CCKA-2PKB,153 Tigers Hayward
3792,CCKA-2PKC,153 Tigers Hayward
3797,AKVC-1192,153 Tigers Hayward
3799,AKCC-1194,153 Tigers Hayward
3800,PKGBKTGRTL,153 Tigers Hayward
3801,PKGBKTGMCT,153 Tigers Hayward
3940,SCBK-1190,153 Tigers Hayward
3941,LBBK-1191,153 Tigers Hayward
3942,PKG10x10x2,153 Tigers Hayward
3951,PKGCST-INS-2 qty,153 Tigers Hayward
4077,ROP03,153 Tigers Hayward
4079,PKG20x16x10,153 Tigers Hayward
4080,MES03R,153 Tigers Hayward
4220,PKGDSTRTL,153 Tigers Hayward
4221,PKGDSTMCT,153 Tigers Hayward
4225,PKGCMDSLV,153 Tigers Hayward
4226,PKGMTDSLV,153 Tigers Hayward
4261,PKGTLSPSLVA,153 Tigers Hayward
4262,PKGTLSBSLVA,153 Tigers Hayward
4264,PKGCLSDSHRT,153 Tigers Hayward
4274,FLWA2-1285,153 Tigers Hayward
