Internal ID,Name,Type,NEW PREF LOC
1569,Assy Buckets w/ Rope and,Inventory Item,153 Tigers Hayward
1551,Assy SLDA - Pride,Inventory Item,153 Tigers Hayward
1567,Assy SWB1-1174 (Pride),Inventory Item,153 Tigers Hayward
1568,Assy SWB2-1175 Pride,Inventory Item,153 Tigers Hayward
1570,Assy SWD1-1176 (Pride),Inventory Item,153 Tigers Hayward
1571,Assy SWD2-1177 (Pride),Inventory Item,153 Tigers Hayward
1572,Assy SWDR-1169 (Pride),Inventory Item,153 Tigers Hayward
1573,Assy SWRB-1171 (Pride),Inventory Item,153 Tigers Hayward
1574,Assy SWSB-1172 (Pride),Inventory Item,153 Tigers Hayward
1575,Assy SWSC-1170 (Pride),Inventory Item,153 Tigers Hayward
1576,Assy SWSE-1173 (Pride),Inventory Item,153 Tigers Hayward
361,BLT01R,Inventory Item,153 Tigers Hayward
267,BUN01R-B,Inventory Item,153 Tigers Hayward
276,BUN01R-T,Inventory Item,153 Tigers Hayward
282,BUR01R,Inventory Item,153 Tigers Hayward
256,BWLY-SLDA,Inventory Item,153 Tigers Hayward
3782,CAK-PK,Inventory Item,153 Tigers Hayward
3779,CAK-VN,Inventory Item,153 Tigers Hayward
3785,CAK-YW,Inventory Item,153 Tigers Hayward
1035,CHS01R-P,Inventory Item,153 Tigers Hayward
316,CHS01R-S,Inventory Item,153 Tigers Hayward
277,CKN01R,Inventory Item,153 Tigers Hayward
242,CON01R-GR,Inventory Item,153 Tigers Hayward
248,CON01R-PR,Inventory Item,153 Tigers Hayward
344,CRM01R-PK2,Inventory Item,153 Tigers Hayward
260,CRM01R-R,Inventory Item,153 Tigers Hayward
331,CST01R,Inventory Item,153 Tigers Hayward
345,CUP01R-PK2,Inventory Item,153 Tigers Hayward
261,CUP01R-R,Inventory Item,153 Tigers Hayward
287,CUT01R,Inventory Item,153 Tigers Hayward
318,DAISY-LRG-PK,Inventory Item,153 Tigers Hayward
293,DAISY-LRG-PR,Inventory Item,153 Tigers Hayward
294,DAISY-LRG-YW,Inventory Item,153 Tigers Hayward
339,DAISY-PLG-PK,Inventory Item,153 Tigers Hayward
322,DAISY-PLG-PR,Inventory Item,153 Tigers Hayward
323,DAISY-PLG-YW,Inventory Item,153 Tigers Hayward
319,DAISY-SML-PK,Inventory Item,153 Tigers Hayward
295,DAISY-SML-PR,Inventory Item,153 Tigers Hayward
