Internal ID,Preferred Location,Name,Display Name,Description,Type,Base Price,CasePack,Harmonized Tariff Code,MSRP,Test Report,Product Line
3799,Pride Industries,AKCC-1194,AKCC-1194,Cupcakes Coloring & Activity Kit ,Assembly/Bill of Materials,6.50,6,4903.00.0000,12.99,,Activity Kits
3798,Pride Industries,AKFC-1193,AKFC-1193,Flowers Coloring & Activity Kit ,Assembly/Bill of Materials,6.50,6,4903.00.0000,12.99,,Activity Kits
3797,Pride Industries,AKVC-1192,AKVC-1192,Vehicles Coloring & Activity Kit,Assembly/Bill of Materials,6.50,6,4903.00.0000,12.99,,Activity Kits
1569,Pride Industries,Assy Buckets w/ Rope and,Assy Buckets w/ Rope and,Buckets w/ Rope and Tag (Pride)................,Inventory Item,0.00,,9503.00.0000,0,,
1464,Pride Industries,Assy CHP1 - KS,Assy CHP1 - KS,Character 4-Pack (CHP1) Assemby Cost (KS),Inventory Item,0.00,,9503.00.0000,0,,
1551,Pride Industries,Assy SLDA - Pride,Assy SLDA - Pride,Salad Set (SLDA) Assembly - Pride,Inventory Item,0.00,,9503.00.0000,0,,
1567,Pride Industries,Assy SWB1-1174 (Pride),Assy SWB1-1174 (Pride),Sand & Water Bucket 1 (Pride)............,Inventory Item,0.00,,9503.00.0000,0,,
1568,Pride Industries,Assy SWB2-1175 Pride,Assy SWB2-1175 Pride,Sand & Water Bucket 2  (Pride)............,Inventory Item,0.00,,9503.00.0000,0,,
1570,Pride Industries,Assy SWD1-1176 (Pride),Assy SWD1-1176 (Pride),Sand & Water Dump Truck 1 (Pride)..............,Inventory Item,0.00,,9503.00.0000,0,,
1571,Pride Industries,Assy SWD2-1177 (Pride),Assy SWD2-1177 (Pride),Sand & Water Dump Truck 2 (Pride)..............,Inventory Item,0.00,,9503.00.0000,0,,
1572,Pride Industries,Assy SWDR-1169 (Pride),Assy SWDR-1169 (Pride),Sand & Water Dumper  (Pride)..,Inventory Item,0.00,,9503.00.0000,0,,
1573,Pride Industries,Assy SWRB-1171 (Pride),Assy SWRB-1171 (Pride),Sand & Water Rescue Boat  (Pride)......,Inventory Item,0.00,,9503.00.0000,0,,
1574,Pride Industries,Assy SWSB-1172 (Pride),Assy SWSB-1172 (Pride),Sand & Water Sport Boats (Pride)........,Inventory Item,0.00,,9503.00.0000,0,,
1575,Pride Industries,Assy SWSC-1170 (Pride),Assy SWSC-1170 (Pride),Sand & Water Scooper  (Pride)....,Inventory Item,0.00,,9503.00.0000,0,,
1576,Pride Industries,Assy SWSE-1173 (Pride),Assy SWSE-1173 (Pride),Sand & Water Seaplane (Pride)..........,Inventory Item,0.00,,9503.00.0000,0,,
361,Pride Industries,BLT01R,BLT01R,Bolt Grey,Inventory Item,,,9503.00.0000,,,
267,Pride Industries,BUN01R-B,BUN01R-B,Sandwich Shop Burger Bun Bottom,Inventory Item,,,9503.00.0000,,,
276,Pride Industries,BUN01R-T,BUN01R-T,Sandwich Shop Burger Bun Top,Inventory Item,,,9503.00.0000,,,
282,Pride Industries,BUR01R,BUR01R,Sandwich Shop Burger Patty,Inventory Item,,,9503.00.0000,,,
256,Pride Industries,BWLY-SLDA,BWLY-SLDA,Yellow Bowl for Salad Set - EcoPrime,Inventory Item,,,9503.00.0000,,,
3782,Pride Industries,CAK-PK,CAK-PK,Cupcake Cake Pink ,Inventory Item,,,9503.00.0000,,,GT
3779,Pride Industries,CAK-VN,CAK-VN,Cupcake Cake Vanilla ,Inventory Item,,,9503.00.0000,,,GT
3785,Pride Industries,CAK-YW,CAK-YW,Cupcake Cake Yellow ,Inventory Item,,,9503.00.0000,,,GT
3790,Pride Industries,CCKA-2PKA,CCKA-2PKA,Cupcake 2 Pack Version A (PVY + YPV),Assembly/Bill of Materials,,,9503.00.0000,,,GT
3791,Pride Industries,CCKA-2PKB,CCKA-2PKB,Cupcake 2 Pack Version B (YPV+VYP),Assembly/Bill of Materials,,,9503.00.0000,,,GT
3792,Pride Industries,CCKA-2PKC,CCKA-2PKC,Cupcake 2 Pack Version C (VYP+PVY),Assembly/Bill of Materials,,,9503.00.0000,,,GT
3787,Pride Industries,CCKIND-PVY,CCKIND-PVY,"Cupcake (Individual) - Pink Frosting, Vanilla Cake, Yellow Liner",Assembly/Bill of Materials,,,9503.00.0000,,,
3789,Pride Industries,CCKIND-VYP,CCKIND-VYP,"Cupcake (Individual) - Vanilla Frosting, Yellow Cake, Pink Liner",Assembly/Bill of Materials,,,9503.00.0000,,,GT
3788,Pride Industries,CCKIND-YPV,CCKIND-YPV,"Cupcake (Individual) - Yellow Frosting, Pink Cake, Vanilla Liner",Assembly/Bill of Materials,,,9503.00.0000,,,GT
1035,Pride Industries,CHS01R-P,CHS01R-P,Pizza Parlor Cheese,Inventory Item,,,9503.00.0000,,,
316,Pride Industries,CHS01R-S,CHS01R-S,Sandwich Shop Cheese,Inventory Item,,,9503.00.0000,,,
277,Pride Industries,CKN01R,CKN01R,Sandwich Shop Chicken Fillet,Inventory Item,,,9503.00.0000,,,
242,Pride Industries,CON01R-GR,CON01R-GR,Connector 2-Hole - DK Green - CC10118086WE,Inventory Item,,,9503.00.0000,,,
248,Pride Industries,CON01R-PR,CON01R-PR,Connector 2-Hole - Purple - CC10107344WE,Inventory Item,,,9503.00.0000,,,
344,Pride Industries,CRM01R-PK2,CRM01R-PK2,PBK Pink Creamer,Inventory Item,,,9503.00.0000,,,
260,Pride Industries,CRM01R-R,CRM01R-R,Creamer - Red Cap - CC10126692WE,Inventory Item,,,9503.00.0000,,,
331,Pride Industries,CST01R,CST01R,Pizza Parlor Crust,Inventory Item,,,9503.00.0000,,,
345,Pride Industries,CUP01R-PK2,CUP01R-PK2,PBK Pink Tea Cup,Inventory Item,,,9503.00.0000,,,
261,Pride Industries,CUP01R-R,CUP01R-R,Tea Cup - Red Cap - CC10126692WE,Inventory Item,,,9503.00.0000,,,
287,Pride Industries,CUT01R,CUT01R,Pizza Parlor Pizza Cutter,Inventory Item,,,9503.00.0000,,,
318,Pride Industries,DAISY-LRG-PK,DAISY-LRG-PK,Daisy - Large - Pink,Inventory Item,,,9503.00.0000,,,
293,Pride Industries,DAISY-LRG-PR,DAISY-LRG-PR,Daisy - Large - Purple,Inventory Item,,,9503.00.0000,,,
294,Pride Industries,DAISY-LRG-YW,DAISY-LRG-YW,Daisy - Large - Yellow,Inventory Item,,,9503.00.0000,,,
339,Pride Industries,DAISY-PLG-PK,DAISY-PLG-PK,Daisy Plug - Pink,Inventory Item,,,9503.00.0000,,,
322,Pride Industries,DAISY-PLG-PR,DAISY-PLG-PR,Daisy Plug - Purple,Inventory Item,,,9503.00.0000,,,
323,Pride Industries,DAISY-PLG-YW,DAISY-PLG-YW,Daisy Plug - Yellow,Inventory Item,,,9503.00.0000,,,
319,Pride Industries,DAISY-SML-PK,DAISY-SML-PK,Daisy - Small - Pink,Inventory Item,,,9503.00.0000,,,
295,Pride Industries,DAISY-SML-PR,DAISY-SML-PR,Daisy - Small - Purple,Inventory Item,,,9503.00.0000,,,
296,Pride Industries,DAISY-SML-YW,DAISY-SML-YW,Daisy - Small - Yellow,Inventory Item,,,9503.00.0000,,,
3774,Pride Industries,FLAKA-ASSY,FLAKA-ASSY,Flower- Activity kit assembly A ,Assembly/Bill of Materials,,,9503.00.0000,,,GT
3775,Pride Industries,FLAKB-ASSY,FLAKB-ASSY,Flower- Activity kit assembly B,Assembly/Bill of Materials,,,9503.00.0000,,,GT
3776,Pride Industries,FLAKC-ASSY,FLAKC-ASSY,Flower- Activity kit assembly C,Assembly/Bill of Materials,,,9503.00.0000,,,GT
3777,Pride Industries,FLAKD-ASSY,FLAKD-ASSY,Flower- Activity kit assembly D,Assembly/Bill of Materials,,,9503.00.0000,,,GT
249,Pride Industries,FLW-BASE-BR,FLW-BASE-BR,Build-a-Bouquet Flower Base - Dark Green,Inventory Item,,,9503.00.0000,,,
230,Pride Industries,FLW-STEM-GR-LRG,FLW-STEM-GR-LRG,Build-a-Bouquet Flower Stems - Light Green - Large,Inventory Item,,,9503.00.0000,,,
231,Pride Industries,FLW-STEM-GR-SML,FLW-STEM-GR-SML,Build-a-Bouquet Flower Stems - Light Green - Small,Inventory Item,,,9503.00.0000,,,
618,Pride Industries,FLWA-1012,FLWA-1012,Green Toys Build-a-Bouquet,Assembly/Bill of Materials,15.00,6,9503.00.0000,27.99,,GT
4274,Pride Industries,FLWA2-1285,FLWA2-1285,Green Toys Build-a-Bouquet 4C ,Assembly/Bill of Materials,15.00,4,9503.00.0000,27.99,,GT
3778,Pride Industries,FRST-PK,FRST-PK,Cupcake Frosting Pink ,Inventory Item,,,9503.00.0000,,,GT
3784,Pride Industries,FRST-VN,FRST-VN,Cupcake Frosting Vanilla ,Inventory Item,,,9503.00.0000,,,GT
3781,Pride Industries,FRST-YW,FRST-YW,Cupcake Frosting Yellow ,Inventory Item,,,9503.00.0000,,,GT
262,Pride Industries,HAM01R-GR,HAM01R-GR,Hammer - DK Green - CC10118086WE,Inventory Item,,,9503.00.0000,,,
268,Pride Industries,HAM01R-PR,HAM01R-PR,Hammer - Purple - CC10107344WE,Inventory Item,,,9503.00.0000,,,
252,Pride Industries,HAN01R-GR,HAN01R-GR,Tool Box Handle - Green - CC10106972WE,Inventory Item,,,9503.00.0000,,,
253,Pride Industries,HAN01R-YW,HAN01R-YW,Toolbox Handle - Yellow - CC10106976WE,Inventory Item,,,9503.00.0000,,,
232,Pride Industries,KTB01R-B,KTB01R-B,Kettle Bottom - Redesign - Blue 298U-CC10106972WE,Inventory Item,,,9503.00.0000,,,
258,Pride Industries,KTB01R-PK2,KTB01R-PK2,PBK Pink Kettle Bottom - Redesign,Inventory Item,,,9503.00.0000,,,
3941,Pride Industries,LBBK-1191,LBBK-1191,Book & Launch Boat Set - Closed Box ,Assembly/Bill of Materials,10.00,4,9503.00.0000,19.99,,
332,Pride Industries,LID01R-PK2,LID01R-PK2,PBK Sugar Bowl Lid,Inventory Item,,,9503.00.0000,,,
245,Pride Industries,LID01R-Y,LID01R-Y,Lid Sugar Bowl - Yellow 129 - CC10106976WE,Inventory Item,,,9503.00.0000,,,
324,Pride Industries,LID02R-PK2,LID02R-PK2,PBK Pink Kettle Lid,Inventory Item,,,9503.00.0000,,,
224,Pride Industries,LID02R-Y,LID02R-Y,Lid Tea Pot - New Design - Yellow 129C - CC10106976WE,Inventory Item,,,9503.00.0000,,,
325,Pride Industries,LILY-LRG-PK,LILY-LRG-PK,Lily - Large - Pink,Inventory Item,,,9503.00.0000,,,
305,Pride Industries,LILY-LRG-PR,LILY-LRG-PR,Lily - Large - Purple,Inventory Item,,,9503.00.0000,,,
306,Pride Industries,LILY-LRG-YW,LILY-LRG-YW,Lily - Large - Yellow,Inventory Item,,,9503.00.0000,,,
346,Pride Industries,LILY-PLG-PK,LILY-PLG-PK,Lily Plug - Pink,Inventory Item,,,9503.00.0000,,,
333,Pride Industries,LILY-PLG-PR,LILY-PLG-PR,Lily Plug - Purple,Inventory Item,,,9503.00.0000,,,
334,Pride Industries,LILY-PLG-YW,LILY-PLG-YW,Lily Plug - Yellow,Inventory Item,,,9503.00.0000,,,
326,Pride Industries,LILY-SML-PK,LILY-SML-PK,Lily - Small - Pink,Inventory Item,,,9503.00.0000,,,
307,Pride Industries,LILY-SML-PR,LILY-SML-PR,Lily - Small - Purple,Inventory Item,,,9503.00.0000,,,
308,Pride Industries,LILY-SML-YW,LILY-SML-YW,Lily - Small - Yellow,Inventory Item,,,9503.00.0000,,,
3786,Pride Industries,LNR-PK,LNR-PK,Cupcake Liner Pink ,Inventory Item,,,9503.00.0000,,,GT
3783,Pride Industries,LNR-VN,LNR-VN,Cupcake Liner Vanilla ,Inventory Item,,,9503.00.0000,,,GT
3780,Pride Industries,LNR-YW,LNR-YW,Cupcake Liner Yellow ,Inventory Item,,,9503.00.0000,,,GT
309,Pride Industries,LTC01R,LTC01R,Sandwich Shop Lettuce,Inventory Item,,,9503.00.0000,,,
221,Pride Industries,MES01R,MES01R,"16"" mesh bag, 100% recycled, clear, heat sealed on one side",Inventory Item,,,9503.00.0000,,,
2159,Pride Industries,MES02R,MES02R,"22"" mesh bag, 100% recycled, clear, heat sealed on one side- MOQ 25,000....",Inventory Item,,,9503.00.0000,,,
4080,Pride Industries,MES03R,MES03R,"31"" mesh bag, 100% recycled, clear, heat sealed on one side ",Inventory Item,,,9503.00.0000,,,
298,Pride Industries,MSH01R,MSH01R,Pizza Parlor Mushrooms,Inventory Item,,,9503.00.0000,,,
362,Pride Industries,NAI01R,NAI01R,Nail Grey,Inventory Item,,,9503.00.0000,,,
363,Pride Industries,NUT01R,NUT01R,Nut Grey,Inventory Item,,,9503.00.0000,,,
255,Pride Industries,ONI01R,ONI01R,Sandwich Shop and Pizza Parlor Onions,Inventory Item,,,9503.00.0000,,,
283,Pride Industries,PEP01R-G,PEP01R-G,Pizza Parlor Green Peppers,Inventory Item,,,9503.00.0000,,,
246,Pride Industries,PEP01R-R,PEP01R-R,Sandwich Shop and Pizza Parlor Red Peppers,Inventory Item,,,9503.00.0000,,,
352,Pride Industries,PETUNIA-PK,PETUNIA-PK,Petunia - Pink,Inventory Item,,,9503.00.0000,,,
327,Pride Industries,PETUNIA-PLG-PK,PETUNIA-PLG-PK,Petunia Plug - Pink,Inventory Item,,,9503.00.0000,,,
311,Pride Industries,PETUNIA-PLG-PR,PETUNIA-PLG-PR,Petunia Plug - Purple,Inventory Item,,,9503.00.0000,,,
312,Pride Industries,PETUNIA-PLG-YW,PETUNIA-PLG-YW,Petunia Plug - Yellow,Inventory Item,,,9503.00.0000,,,
347,Pride Industries,PETUNIA-PR,PETUNIA-PR,Petunia - Purple,Inventory Item,,,9503.00.0000,,,
348,Pride Industries,PETUNIA-YW,PETUNIA-YW,Petunia - Yellow,Inventory Item,,,9503.00.0000,,,
3942,Pride Industries,PKG10x10x2,PKG10x10x2,PBK custom book packs bundles of 50. ,Inventory Item,,,9503.00.0000,,,
1766,Pride Industries,PKG12x9x6,PKG12x9x6,"12x9x6 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,,,9503.00.0000,0,,
2253,Pride Industries,PKG15x11x11,PKG15x11x11,"15x11x11 RSC 32ECT,  25/Bundle MOQ 25, 300 unit pricing ..",Inventory Item,,,9503.00.0000,,,
2251,Pride Industries,PKG15x15x10,PKG15x15x10,"15x15x10RSC 32ECT, 25/Bundle MOQ 25",Inventory Item,,,9503.00.0000,,,
1769,Pride Industries,PKG16x12x10,PKG16x12x10,"16x12x10 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,,,9503.00.0000,0,,
1764,Pride Industries,PKG18x9x9,PKG18x9x9,"18x9x9 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,,,9503.00.0000,0,,
