Internal ID,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
4254,PKGCLSDBIG,PKGCLSDBIG,Closed BigBox_V17003922_Retail ,Inventory Item,-10108,,Pride Industries,153 Tigers Hayward,-10108,1,pride2tigers
4255,PKGCLSDBIGMCT,PKGCLSDBIGMCT,Closed BigBox_Master Carton ,Inventory Item,-10108,,Pride Industries,153 Tigers Hayward,-10108,2,pride2tigers
4266,PKGCLSDSHRTMCT,PKGCLSDSHRTMCT,Closed Short_Master Carton  ,Inventory Item,-6408,3000,Pride Industries,153 Tigers Hayward,-6408,3,pride2tigers
4256,PKGFLWSLVA,PKGFLWSLVA,BuildaBouquet_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item,-4608,,Pride Industries,153 Tigers Hayward,-4608,4,pride2tigers
2159,MES02R,MES02R,"22"" mesh bag, 100% recycled, clear, heat sealed on one side- MOQ 25,000....",Inventory Item,-3326,1009,Pride Industries,153 Tigers Hayward,-3326,5,pride2tigers
4260,PKGSTSSLVA,PKGSTSSLVA,Sandwich_Sleeve_V17003923_OL_LQ_20170630  ,Inventory Item,-2908,,Pride Industries,153 Tigers Hayward,-2908,6,pride2tigers
4259,PKGSTPSLVA,PKGSTPSLVA,Pizza_Sleeve_V17003923_OL_LQ_20170630 ,Inventory Item,-2592,,Pride Industries,153 Tigers Hayward,-2592,7,pride2tigers
1036,PKGSLDA-OVSP,PKGSLDA-OVSP,Salad Set Folding Oil & Vinegar Bottle and Salt & Pepper Shakers,Inventory Item,-2004,,Pride Industries,153 Tigers Hayward,-2004,8,pride2tigers
4265,PKGCLSDMID,PKGCLSDMID,Closed Mid Box_(123)_23165621-12-C  ,Inventory Item,-768,,Pride Industries,153 Tigers Hayward,-768,9,pride2tigers
4267,PKGCLSDMIDMCT,PKGCLSDMIDMCT,Closed Mid Box_Master Carton ,Inventory Item,-768,,Pride Industries,153 Tigers Hayward,-768,10,pride2tigers
4263,PKGSLDSLVA,,Salad Set Sleeve_23165621-16_OL_LQ_20170630  ,Inventory Item,-768,,Pride Industries,153 Tigers Hayward,-768,11,pride2tigers
2253,PKG15x11x11,PKG15x11x11,"15x11x11 RSC 32ECT,  25/Bundle MOQ 25, 300 unit pricing ..",Inventory Item,-76.77,21.99,Pride Industries,153 Tigers Hayward,-76.77,12,pride2tigers
