Internal ID,Item,Name,Display Name,Description,Type,On Hand,Available,Preferred Location,NEW LOCATION,QTY2TRNSFR,LINE,EXTID
3780,LNR-YW LNR-YW,LNR-YW,LNR-YW,Cupcake Liner Yellow ,Inventory Item,1,1,Pride Industries,153 Tigers Hayward,1,1,pride2tigers
3784,FRST-VN FRST-VN,FRST-VN,FRST-VN,Cupcake Frosting Vanilla ,Inventory Item,2,2,Pride Industries,153 Tigers Hayward,2,2,pride2tigers
3941,LBBK-1191 LBBK-1191,LBBK-1191,LBBK-1191,Book & Launch Boat Set - Closed Box ,Assembly/Bill of Materials,3,3,Pride Industries,153 Tigers Hayward,3,3,pride2tigers
3799,AKCC-1194 AKCC-1194,AKCC-1194,AKCC-1194,Cupcakes Coloring & Activity Kit ,Assembly/Bill of Materials,5,,Pride Industries,153 Tigers Hayward,5,4,pride2tigers
3786,LNR-PK LNR-PK,LNR-PK,LNR-PK,Cupcake Liner Pink ,Inventory Item,5,5,Pride Industries,153 Tigers Hayward,5,5,pride2tigers
3778,FRST-PK FRST-PK,FRST-PK,FRST-PK,Cupcake Frosting Pink ,Inventory Item,6,6,Pride Industries,153 Tigers Hayward,6,6,pride2tigers
3779,CAK-VN CAK-VN,CAK-VN,CAK-VN,Cupcake Cake Vanilla ,Inventory Item,9,9,Pride Industries,153 Tigers Hayward,9,7,pride2tigers
3781,FRST-YW FRST-YW,FRST-YW,FRST-YW,Cupcake Frosting Yellow ,Inventory Item,9,9,Pride Industries,153 Tigers Hayward,9,8,pride2tigers
223,SUG02R-PK2 SUG02R-PK2,SUG02R-PK2,SUG02R-PK2,PBK Pink Sugar Bowl Base 2013 - Holes added 07/15/2013,Inventory Item,9,9,Pride Industries,153 Tigers Hayward,9,9,pride2tigers
3782,CAK-PK CAK-PK,CAK-PK,CAK-PK,Cupcake Cake Pink ,Inventory Item,23,23,Pride Industries,153 Tigers Hayward,23,10,pride2tigers
1764,PKG18x9x9 PKG18x9x9,PKG18x9x9,PKG18x9x9,"18x9x9 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,45.2,45.2,Pride Industries,153 Tigers Hayward,45.2,11,pride2tigers
3797,AKVC-1192 AKVC-1192,AKVC-1192,AKVC-1192,Vehicles Coloring & Activity Kit,Assembly/Bill of Materials,49,37,Pride Industries,153 Tigers Hayward,49,12,pride2tigers
3783,LNR-VN LNR-VN,LNR-VN,LNR-VN,Cupcake Liner Vanilla ,Inventory Item,51,51,Pride Industries,153 Tigers Hayward,51,13,pride2tigers
2252,PKG20x15x9 PKG20x15x9,PKG20x15x9,PKG20x15x9,"20x15x9 RSC 32ECT, 15/Bundle MOQ 25",Inventory Item,58,58,Pride Industries,153 Tigers Hayward,58,14,pride2tigers
1769,PKG16x12x10 PKG16x12x10,PKG16x12x10,PKG16x12x10,"16x12x10 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,58.5,58.5,Pride Industries,153 Tigers Hayward,58.5,15,pride2tigers
441,PKGFLWAMCT PKGFLWAMCT,PKGFLWAMCT,PKGFLWAMCT,Build-a-Bouquet Master Carton - 200E,Inventory Item,59.82582,59.82582,Pride Industries,153 Tigers Hayward,59.82582,16,pride2tigers
1765,PKG24x12x8 PKG24x12x8,PKG24x12x8,PKG24x12x8,"24x12x8 RSC 32ECT, 25/Bundle - MOQ 25....",Inventory Item,63,63,Pride Industries,153 Tigers Hayward,63,17,pride2tigers
332,LID01R-PK2 LID01R-PK2,LID01R-PK2,LID01R-PK2,PBK Sugar Bowl Lid,Inventory Item,89,89,Pride Industries,153 Tigers Hayward,89,18,pride2tigers
1758,PKGCHP1THRMT PKGCHP1THRMT,PKGCHP1THRMT,PKGCHP1THRMT,"Character 4 Pack Retail Thermoform Top(0.020 Thick) - SD - MOQ 20,000..",Inventory Item,108,108,Pride Industries,153 Tigers Hayward,108,19,pride2tigers
1469,PKGCSCARTL PKGCSCARTL,PKGCSCARTL,PKGCSCARTL,Scooper Retail Package w. Insert - 150E,Inventory Item,109,109,Pride Industries,153 Tigers Hayward,109,20,pride2tigers
3801,PKGBKTGMCT PKGBKTGMCT,PKGBKTGMCT,PKGBKTGMCT,Green Toys Book with Toy Closed Gift Box Master ,Inventory Item,119.36,119.36,Pride Industries,153 Tigers Hayward,119.36,21,pride2tigers
1766,PKG12x9x6 PKG12x9x6,PKG12x9x6,PKG12x9x6,"12x9x6 RSC 32ECT, 25/Bundle MOQ 25 ..",Inventory Item,124.36,124.36,Pride Industries,153 Tigers Hayward,124.36,22,pride2tigers
429,PKGTLSMCT02 PKGTLSMCT02,PKGTLSMCT02,PKGTLSMCT02,Tool Set Master Carton - New Design - 200C,Inventory Item,176.07228,176.07228,Pride Industries,153 Tigers Hayward,176.07228,23,pride2tigers
258,KTB01R-PK2 KTB01R-PK2,KTB01R-PK2,KTB01R-PK2,PBK Pink Kettle Bottom - Redesign,Inventory Item,200,200,Pride Industries,153 Tigers Hayward,200,24,pride2tigers
224,LID02R-Y LID02R-Y,LID02R-Y,LID02R-Y,Lid Tea Pot - New Design - Yellow 129C - CC10106976WE,Inventory Item,211,849,Pride Industries,153 Tigers Hayward,211,25,pride2tigers
