Error,Inventory Transfer : Category,Inventory Transfer : Date,Inventory Transfer : Department,Inventory Transfer : ExternalId,Inventory Transfer : From Location,Inventory Transfer : Internal ID,Inventory Transfer : Memo,Inventory Transfer : Posting Period,Inventory Transfer : Ref. No.,Inventory Transfer : To Location,Inventory Transfer Items : Item,Inventory Transfer Items : Line,Inventory Transfer Items : Qty. To Transfer,Inventory Transfer Items : Units,External ID
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,AKFC-1193 AKFC-1193,2,0,,EXT_3798
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKIND-PVY CCKIND-PVY,7,0,,EXT_3787
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKIND-VYP CCKIND-VYP,8,0,,EXT_3789
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CCKIND-YPV CCKIND-YPV,9,0,,EXT_3788
Invalid item reference key FLWA2-1285 FLWA2-1285.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,FLWA2-1285 FLWA2-1285,15,4514,,EXT_4274
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy Buckets w/ Rope and Assy Buckets w/ Rope and,18,0,,EXT_1569
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SLDA - Pride Assy SLDA - Pride,20,0,,EXT_1551
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWB1-1174 (Pride) Assy SWB1-1174 (Pride),21,0,,EXT_1567
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWB2-1175 Pride Assy SWB2-1175 Pride,22,0,,EXT_1568
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWDR-1169 (Pride) Assy SWDR-1169 (Pride),25,0,,EXT_1572
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWRB-1171 (Pride) Assy SWRB-1171 (Pride),26,0,,EXT_1573
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWSC-1170 (Pride) Assy SWSC-1170 (Pride),28,0,,EXT_1575
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,Assy SWSE-1173 (Pride) Assy SWSE-1173 (Pride),29,0,,EXT_1576
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,CAK-YW CAK-YW,37,0,,EXT_3785
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,MES02R MES02R,88,0,,EXT_2159
Invalid item reference key MES03R MES03R.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,MES03R MES03R,89,20368,,EXT_4080
Transaction was not complete.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKG15x11x11 PKG15x11x11,104,0,,EXT_2253
Invalid item reference key PKG20x16x10 PKG20x16x10.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKG20x16x10 PKG20x16x10,109,592,,EXT_4079
Invalid item reference key PKGCLSDBIG PKGCLSDBIG.,,9/30/17,,,Pride Industries,,transfer of all pride to tigers hayward,,,153 Tigers Hayward,PKGCLSDBIG PKGCLSDBIG,117,0,,EXT_4254
