"Finished Good Item","Finished Good Location","Raw Material Item","Raw Material Location",Ratio
2420-FLIntl2,3,PKG252344BASE,3,1
2420-FLIntl2,3,PKG252344DIVL,3,4
2420-FLIntl2,3,PKG252344HDR,3,2
2420-FLIntl2,3,PKG252344POST,3,4
2420-FLIntl2,3,PKG252344TRAY,3,4
3SD1-1201,3,3SD1-PKG,3,1
3SD1-1201,3,CDPA-1107,3,5
3SD1-1201,3,CSCA-1106,3,5
3SD1-1201,3,SUBB-1032,3,3
3SD1-1201,3,SUBY-1033,3,3
3SD1-1201,3,TUG01R-B,3,3
3SD1-1201,3,TUG01R-R,3,3
3SD2-1201,3,AKCC-1194,3,2
3SD2-1201,3,AKVC-1192,3,2
3SD2-1201,3,CDPA-1107,3,2
3SD2-1201,3,CSCA-1106,3,2
3SD2-1201,3,ENGR-1154,3,2
3SD2-1201,3,SUBA-1034,3,6
3SD2-1201,3,TUG01R-A,3,6
AKA1-1200,3,AKBKCCK,3,.33
AKA1-1200,3,AKBKFLW,3,.33
AKA1-1200,3,AKBKVEH,3,.33
AKA1-1200,3,AKSTKCCK,3,.33
AKA1-1200,3,AKSTKFLW,3,.33
AKA1-1200,3,AKSTKVEH,3,.33
AKA1-1200,3,CCKA-2PKA,3,.11
AKA1-1200,3,CCKA-2PKB,3,.11
AKA1-1200,3,CCKA-2PKC,3,.11
AKA1-1200,3,CRYNCCK,3,.33
AKA1-1200,3,CRYNFLW,3,.33
AKA1-1200,3,CRYNVEH,3,.33
AKA1-1200,3,FLAKA-ASSY,3,.08
AKA1-1200,3,FLAKB-ASSY,3,.08
AKA1-1200,3,FLAKC-ASSY,3,.08
AKA1-1200,3,FLAKD-ASSY,3,.08
AKA1-1200,3,FLW-BASE-BR,3,.33
AKA1-1200,3,FLW-STEM-GR-LRG,3,.67
AKA1-1200,3,FLW-STEM-GR-SML,3,.67
AKA1-1200,3,MES01R,3,.67
AKA1-1200,3,MFBR-ASSY,3,.33
AKA1-1200,3,PKGAKAMCT,3,.17
AKA1-1200,3,PKGAKCCRTL,3,.33
AKA1-1200,3,PKGAKCRYN,3,1
AKA1-1200,3,PKGAKFBRTL,3,.33
AKA1-1200,3,PKGAKFLRTL,3,.33
AKA1-1200,3,"UPC Label",3,1
AKCC-1194,7,AKBKCCK,7,1
AKCC-1194,7,AKSTKCCK,7,1
AKCC-1194,7,CCKA-2PKA,7,.33
AKCC-1194,7,CCKA-2PKB,7,.33
AKCC-1194,7,CCKA-2PKC,7,.33
AKCC-1194,7,CRYNCCK,7,1
AKCC-1194,7,"LABOR - AKCC-Pride",7,1
AKCC-1194,7,MES01R,7,1
AKCC-1194,7,PKGAKAMCT,7,.17
AKCC-1194,7,PKGAKCCRTL,7,1
AKCC-1194,7,PKGAKCRYN,7,1
AKFC-1193,7,AKBKFLW,7,1
AKFC-1193,7,AKSTKFLW,7,1
AKFC-1193,7,CRYNFLW,7,1
AKFC-1193,7,FLAKA-ASSY,7,.25
