"Item Code",Location,Customer,"Order Number","Line Number","Order Date","Order Quantity","Requested Date","Outstanding Quantity"
ECS01R,3,"Whole Foods, Inc - PARENT : Whole Foods -MLV - Mill Valley",124328,1,2017/05/10,36,2017/10/27,5
RKTB-1039,3,"Amazon.com -   Toys",126231,19,2017/07/30,12,2017/10/23,0
RKTR-1040,3,"Amazon.com -   Toys",126231,20,2017/07/30,24,2017/10/23,0
DCM1-1243,3,"Thinker Toys California",126978,1,2017/08/23,4,2017/10/16,4
DFM1-1244,3,"Thinker Toys California",126978,3,2017/08/23,4,2017/10/16,4
DMM1-1242,3,"Thinker Toys California",126978,5,2017/08/23,4,2017/10/16,4
DMT1-1245,3,"Thinker Toys California",126978,7,2017/08/23,4,2017/10/16,4
DRM1-1246,3,"Thinker Toys California",126978,9,2017/08/23,4,2017/10/16,4
"OLD DO NOT USE - DS4A-1241",3,"Thinker Toys California",126978,11,2017/08/23,6,2017/10/16,6
DMT1-1245,3,"Read Me a Story - WA",127085,1,2017/08/28,4,2017/11/08,4
DFM1-1244,3,"Children's Museum of Indianapolis",127442,3,2017/09/14,4,2170/10/16,4
DRM1-1246,3,"Children's Museum of Indianapolis",127442,5,2017/09/14,4,2170/10/16,4
PBTA-1049,3,"Pottery Barn Kids",128044,1,2017/10/05,282,2018/02/25,0
PBTA-1049,3,"Pottery Barn Kids",128045,1,2017/10/05,282,2018/02/25,0
PBTA-1049,3,"Pottery Barn Kids",128046,1,2017/10/05,624,2018/02/25,0
PBTA-1049,3,"Pottery Barn Kids",128047,1,2017/10/05,318,2018/02/25,0
DSH01R,3,"Selegiochi SRL",128228,1,2017/10/12,234,2018/01/25,0
DTK01R,3,"Selegiochi SRL",128228,13,2017/10/12,78,2018/01/25,0
TEA01R,3,"Selegiochi SRL",128228,14,2017/10/12,150,2018/01/25,0
TUG01R-A,3,"Selegiochi SRL",128228,28,2017/10/12,666,2018/01/25,0
SEAY-1030,3,"Selegiochi SRL",128228,29,2017/10/12,858,2018/01/25,0
SUBB-1032,3,"Selegiochi SRL",128228,30,2017/10/12,712,2018/01/25,0
FRBA-1038,3,"Selegiochi SRL",128228,31,2017/10/12,210,2018/01/25,0
CDPB-1262,3,"Selegiochi SRL",128228,32,2017/10/12,234,2018/01/25,0
CSCO-1106,3,"Selegiochi SRL",128228,33,2017/10/12,396,2018/01/25,0
CMXG-1263,3,"Selegiochi SRL",128228,34,2017/10/12,60,2018/01/25,0
MVT1-1164,3,Droplets.,128436,6,2017/10/18,24,2016/11/02,24
KNTA-1502,3,"Ingram Book Company",128655,1,2017/10/25,12,2017/11/01,0
SEAG-1029,3,"Thrive Market",128981,1,2017/11/06,18,2017/11/07,18
KYBB-1234,3,"Amazon.com -   Toys",129398,1,2017/11/27,54,2017/12/01,0
RKTB-1039,3,"Amazon.com -   Toys",129585,1,2017/12/04,76,2017/12/06,0
BTSA-1105,3,"Wegmans Food Markets",129655,1,2017/12/06,612,2018/02/10,494
DCM1-1243,3,"Wegmans Food Markets",129655,2,2017/12/06,204,2018/02/10,0
