"Location Code",Description,Active,Group,Type
2,"110 Sausalito",1,,
3,"120 Orion Logistics",1,,
5,"140 VRS Assy",1,,
6,"150 Tigers Texas",1,,
7,"153 Tigers Hayward",1,,
8,"120 Orion Logistics : 125 Orion Quarantine",1,,
9,"120 Orion Logistics : 126 RMA Inventory",1,,
11,"140 VRS Assy : 145 VRS Quarantine",1,,
12,"160 Kennerley Spratling",1,,
13,"165 Hansen Plastics",1,,
14,"110 Sausalito : Eco Kids",1,,
15,"Pint Size Production",1,,
16,"Coman Foods LLC",1,,
17,"GT - TBD",1,,
18,"Lott Monehen",1,,
19,"GCE - Consigned Goods",1,,
21,"Tigers Riverside",1,,
22,"Worldwide Gourmet",1,,
23,"ACT/Elite Fill",1,,
