"Item Code",Description,"Netstock Unit of Measure","Unit Volume","Unit Weight","Superseded Item Code","Supersession Item Factor","Not Used","Unique Identifier"
11299-BJ,"Construction Vehicle 3-Pack - Master Pack-out
",,,,,,,4102
112994,"Construction Vehicle 3-Pack - Pallet Pack-out
",,,,,,,4101
3SD1-1201,"Bath/Vehicle Shipper – Flat
",,,18.54,,,,4007
3SD2-1201,"Bath/Vehicle Shipper – Flat- Pharmaca
",,,13.5,,,,4022
944997,"GT  Bath Adventure 2 Pack - (Ferry Boat w/ Car & Tug Boat, Seaplane & Submarine)",,,,,,,724
973786,"GT  Assorted Truck Sets:  Dump + Recycling Truck & Fire Truck + School Bus",,,,,,,11
980026526,"Green Toys Toy with Book Sets (Assorted Pallet); Train Set & Truck Set
",,,,,,,4271
980026526-TRK2PK,"Mixed Up Trucks Book Set - 2 Pack
",,,,,,,4273
980026526-TRN2PK,"Train off the Rails Book Set - 2 Pack
",,,,,,,4272
AARG-1295,"Airplane - Red & Green
",,,1.42,,,,4269
AIRA-1028,"GT  Airplane - Assortment",,,1.42,,,,85
AIRB-1027,"GT  Airplane - Blue",,,1.42,,,,933
AIRB-1027EC,"GT  Airplane - Blue",,,1.42,,,,4292
AIRB4-1027,"GT  Airplane - Blue",,,1.42,,,,4015
AIRP-1131,"GT  Airplane - Purple",,,1.42,,,,786
AIRR-1026,"GT  Airplane - Red",,,1.42,,,,121
AIRR-1026EC,"GT  Airplane - Red",,,1.42,,,,4293
AKA1-1200,"Activity Kit Assortment (Vehicles, Flowers, Cupcakes)",,,0,,,,3823
AKCC-1194,"Cupcakes Coloring & Activity Kit
",,,0,,,,3799
AKFC-1193,"Flowers Coloring & Activity Kit
",,,0,,,,3798
AKVC-1192,"Vehicles Coloring & Activity Kit",,,0,,,,3797
ARBB-1235,"Airplane & Board Book 

",,,0,,,,4069
ARDP-1136,"GT  Airplane - Dark Purple",,,1,,,,787
BB3P-1233,"Board Book 3 Pack  
",,,,,,,4089
BBS1-1238,"Green Toys Bake By Shape
",,,2.25,,,,4086
BK06-TNBK,"Train off the Rails Book - 6 units (No Display)
",,,0,,,,3946
BKA1-1210,"Book Assortment (2 each) with display",,,0,,,,3833
BKBT-4341,"Green Toys Book: Boats Built for Speed with Davey & Pearl....",,,,,,,3069
BKTK-4342,"Green Toys Book: Mixed-Up Trucks with Baxter, Rosie & Gus....",,,,,,,3070
BKTN-4340,"Green Toys Book: Train off the Rails with Kody and Dot..",,,,,,,3071
BLKA-1110,"GT  Block Set",,,1.77,,,,789
BTAA-ASSY,"Bath Time Adventure Submarine & Seaplane Set


",,,0,,,,4350
BTLB-1103,"GT  Launch Boat - Blue",,,.43,,,,793
BTLB-12X4,"GT  Launch Boat - 12 pack/4 unit inners (blue)",,,.43,,,,729
BTRO-1104,"GT  Race Boat - Orange",,,.43,,,,794
BTRO-12X4,"GT  Race Boat - 12 pack/4 unit inners (orange)",,,.43,,,,730
BTS1-1236,"Baby Toy Starter Set (First Keys, Stacking Cups, Elephant)


",,,0,,,,4071
BTSA-1105,"GT  Sport Boat - Assortment",,,.43,,,,795
BTSG-1102,"GT  Speed Boat - Green",,,.43,,,,796
BTSG-12X4,"GT  Speed Boat - 12 pack/4 unit inners (green)",,,.43,,,,731
BWLA-1534,"Green Eats Bowls - 2 per set - Assorted",,,.4,,,,57
BWLB-1505,"Green Eats Bowls - 2 per set - Blue",,,.4,,,,75
BWLG-1556,"Green Eats Bowls - 2 per set - Green",,,.4,,,,70
BWLO-1554,"Green Eats Bowls - 2 per set",,,.4,,,,103
BWLY-1555,"Green Eats Bowls - 2 per set - Yellow",,,.4,,,,66
CCRB-1237,"Green Toys Car Carrier

",,,,,,,4087
CD04-PK01,"Dough – 4oz – Pink 01 (48 units/cs)
",,,0,,,,4372
CDM6-1183,"Green Toys Dumper 6 Pack..
",,,,,,,3500
CDPA-1107,"GT  Dumper - Construction Truck",,,.84,,,,797
CDPA-12X4,"GT  Dumper - Construction Truck - 12 unit MCT, 4 Unit Inner Cartons",,,.84,,,,736
CDPB-1262,"Dumper Construction Truck - Blue/Yellow",,,.84,,,,4060
CFBP-1197,"GT Ferry Boat Pink/Grey",,,,,,,3596
CFTP-1199,"Green Toys Fire Truck - Pink",,,,,,,3597
CHF01R,"Green Toys Chef Set - 4 piece set",,,1.38,,,,1052
CHP1-1151,"Green Toys Character 4-Pack....",,,0,,,,2051
CHST-1146,"Green Toys Toy Chest Promo.",,,9.19,,,,1341
CHST-1146F,"Toy Chest Kits-Flat Toy Chest without Toys",,,0,,,,2754
CHSTC-1228,"Toy Chest C  - For Indigo",,,9.14,,,,4006
CMXA-1108,"GT  Mixer - Construction Truck",,,.84,,,,799
CMXA-12X4,"GT  Mixer - Construction Truck - 12 unit MCT, 4 Unit Inner Cartons",,,.84,,,,740
CMXG-1263,"Mixer Construction Truck - Green/Yellow",,,.84,,,,4061
CONR-1240,"Green Toys Convertible w/Character
",,,,,,,4095
CPCK-1152,"Green Toys Cupcake Set....
",,,,,,,3611
CSC6-1182,"Green Toys Scooper 6 Pack..
",,,,,,,3498
CSCA-1106,"GT  Scooper - Construction Truck",,,.84,,,,800
CSCA-12X4,"GT  Scooper - Construction Truck - 12 unit MCT, 4 Unit Inner Cartons",,,.84,,,,743
CSCA4-1106,"GT  Scooper - Construction Truck",,,.84,,,,4016
