"Item Code",Location,"Supplier Code","Order Number","Line Number","Order Date","Order Quantity","Expected Arrival Date","Outstanding Quantity","Order Type","Purchase Unit Cost"
BBS1-1238,3,135,4937,1,2017/01/12,3000,2017/09/01,988,P,5.02
Pkg17x12x10,3,210,4951,1,2017/01/23,75,2017/01/23,75,P,1.10
PFIR-1156,3,135,4958,1,2017/01/26,1500,2017/03/01,220,P,11.68
PFRM-1158,3,135,4958,2,2017/01/26,1500,2017/03/01,240,P,11.64
STK01R,3,135,4960,1,2017/01/26,2500,2017/04/01,44,P,3.35
PKGGARMCT,5,211,4984,1,2017/03/10,834,2017/03/24,12,P,1.455
HELB-1060,3,118,4993,1,2017/03/24,2744,2017/05/19,392,P,3.35
TRNB-1054,3,135,4994,31,2017/03/24,3500,2017/05/05,170,P,7.15
WAOB-1268,3,118,5013,1,2017/03/28,600,2017/04/10,8,P,6.28
WABO-1269,3,118,5013,2,2017/03/28,600,2017/04/10,10,P,6.28
PKGCHFRTL,5,211,5014,1,2017/04/03,10000,2017/04/10,220,P,.676
PKGCHFMCT,5,211,5014,4,2017/04/03,1250,2017/04/10,120,P,1.57
PKGSTSRTL,5,211,5021,1,2017/04/10,10000,2017/04/17,7100,P,.779
PKGSTSMCT,5,211,5021,2,2017/04/10,1250,2017/04/17,1025,P,1.168
PKGTEAMCT02,5,211,5053,4,2017/05/04,6667,2017/08/01,703,P,1.137
BKTK-4342,3,7397,5055,1,2017/05/04,2500,2017/06/01,107,P,1.63
LILY-SML-PR,4,135,5061,19,2017/05/09,7000,2017/05/31,7000,P,.10
PETUNIA-PK,4,135,5061,21,2017/05/09,7000,2017/05/31,350,P,.12
FLW-STEM-GR-SML,4,135,5061,27,2017/05/09,56000,2017/05/31,666,P,.08
FLW01R,5,135,5062,1,2017/05/09,6000,2017/05/31,100,P,.45
CD04-SKBD-PET,,10337,5089,1,2017/05/31,105000,2017/06/15,1000,P,.0389
SCHY-1009,3,135,5091,1,2017/05/31,5000,2017/06/12,104,P,5.74
DRM1-1246,3,135,5095,1,2017/05/31,8500,2017/07/17,2976,P,4.51
MVP1-1165,3,135,5096,13,2017/06/01,1667,2017/07/01,603,P,5.05
SEAG-1029,3,135,5096,19,2017/06/01,2000,2017/07/01,20,P,4.17
TUG01R-B,3,118,5097,2,2017/06/01,5103,2017/07/27,567,P,1.88
WAGO-1227,3,118,5097,5,2017/06/01,7040,2017/07/27,160,P,6.28
LILY-LRG-PK,4,135,5103,12,2017/06/08,6000,2017/07/01,1000,P,.10
SECO-1064,3,118,5120,9,2017/06/16,3168,2017/08/10,6,P,3.95
PKGDSTRTL,4,211,5135,1,2017/06/22,17500,2017/07/17,17500,P,.589
PKGDSTMCT,4,211,5135,2,2017/06/22,4375,2017/07/17,4375,P,.543
PKGCMDSLV,4,211,5135,3,2017/06/22,10000,2017/07/17,10000,P,.306
PKGMTDSLV,4,211,5135,4,2017/06/22,7500,2017/07/17,7500,P,.306
PHSE-1239,3,135,5151,1,2017/06/30,4000,2017/10/15,928,P,11.141
ACRD-MMDS,,211,5155,1,2017/07/06,15000,2017/07/17,15000,P,.488
HELY-ASSY,13,118,5170,1,2017/07/13,22500,2017/09/07,300,P,2.96
DAISY-LRG-PK,5,135,5174,3,2017/07/18,6000,2017/08/01,400,P,.11
PETUNIA-YW,5,135,5174,26,2017/07/18,6000,2017/08/01,50,P,.12
DAISY-LRG-PK,5,135,5176,3,2017/07/18,6000,2017/08/28,6000,P,.11
DAISY-LRG-YW,5,135,5176,5,2017/07/18,6000,2017/08/28,6000,P,.11
DAISY-PLG-PK,5,135,5176,6,2017/07/18,6000,2017/08/28,6000,P,.10
DAISY-PLG-YW,5,135,5176,8,2017/07/18,6000,2017/08/28,6000,P,.10
DAISY-SML-PK,5,135,5176,9,2017/07/18,6000,2017/08/28,6000,P,.10
DAISY-SML-YW,5,135,5176,11,2017/07/18,6000,2017/08/28,6000,P,.10
LILY-LRG-PK,5,135,5176,12,2017/07/18,6000,2017/08/28,6000,P,.10
LILY-LRG-YW,5,135,5176,14,2017/07/18,6000,2017/08/28,6000,P,.10
LILY-PLG-PK,5,135,5176,15,2017/07/18,6000,2017/08/28,6000,P,.10
LILY-PLG-PR,5,135,5176,16,2017/07/18,6000,2017/08/28,383,P,.10
LILY-PLG-YW,5,135,5176,17,2017/07/18,6000,2017/08/28,6000,P,.10
LILY-SML-PK,5,135,5176,18,2017/07/18,6000,2017/08/28,6000,P,.10
LILY-SML-YW,5,135,5176,20,2017/07/18,6000,2017/08/28,6000,P,.10
PETUNIA-PK,5,135,5176,21,2017/07/18,6000,2017/08/28,6000,P,.12
PETUNIA-PLG-PK,5,135,5176,22,2017/07/18,6000,2017/08/28,6000,P,.09
PETUNIA-PLG-YW,5,135,5176,24,2017/07/18,6000,2017/08/28,6000,P,.09
PETUNIA-YW,5,135,5176,26,2017/07/18,6000,2017/08/28,6000,P,.12
SUG02R,5,135,5181,5,2017/07/18,12500,2017/08/28,2250,P,.26
LID01R,5,135,5181,6,2017/07/18,12500,2017/08/28,2250,P,.24
NUT01R,17,135,5185,10,2017/07/18,8500,2017/10/01,1380,P,.07
PKL01R,5,135,5192,4,2017/07/18,3000,2017/08/28,465,P,.11
PKGCLSDBIG,5,211,5196,1,2017/07/24,30000,2017/08/15,16470,P,.468
PKGFLWSLVA,5,211,5196,2,2017/07/24,18000,2017/08/15,12000,P,.367
PKGCLSDBIGMCT,5,211,5196,3,2017/07/24,7500,2017/08/15,4375,P,.655
