"Item Code",Location,Period,"Sales Quantity","Cost of sales","Sales Value","Issues Quantity"
11299-BJ,3,2017/03/01,1200,0,16800.00,0
112994,3,2017/03/01,2112,0,35904.00,0
112994,3,2017/07/01,1920,0,32640.00,0
2420-FLIntl2,3,2016/11/01,5,0,.00,0
2420-FLIntl2,3,2017/05/01,2,0,.00,0
2420-FLIntl2,3,2016/12/01,50,0,.00,0
2420-FLIntl2,3,2016/07/01,15,0,.00,0
2420-FLIntl2,3,2016/09/01,1,0,.00,0
2420B-1148,3,2016/04/01,1,0,441.00,0
2420B-1148,7,2016/06/01,1,0,441.14,0
2420B-1148,7,2016/04/01,1,0,441.00,0
2420B-1148,7,2016/03/01,119,0,52479.00,0
3SD1-1201,3,2017/10/01,1,0,145.20,0
3SD1-1201,3,2017/08/01,132,0,18876.00,0
3SD1-1201,3,2017/05/01,4,0,495.00,0
3SD1-1201,3,2017/03/01,1,0,145.20,0
3SD1-1201,3,2016/10/01,10,0,1452.00,0
3SD1-1201,3,2017/02/01,11,0,1452.00,0
3SD1-1201,3,2016/09/01,50,0,7114.80,0
3SD1-1201,3,2017/04/01,2,0,330.00,0
3SD1-1201,3,2017/11/01,2,0,290.40,0
3SD1-1201,3,2016/12/01,50,0,4290.00,0
3SD1-1201,3,2017/06/01,10,0,1452.00,0
3SD1-1201,3,2017/09/01,168,0,24393.60,0
3SD1-1201,7,2017/07/01,3,0,290.40,0
3SD1-1201,7,2017/05/01,2,0,290.40,0
3SD1-1201,7,2016/11/01,1,0,145.20,0
3SD1-1201,7,2017/04/01,3,0,435.60,0
3SD1-1201,7,2016/10/01,36,0,5227.20,0
3SD2-1201,7,2016/10/01,10,0,1287.00,0
944997,3,2018/01/01,2898,0,42745.50,0
944997,3,2016/04/01,2898,0,44919.00,0
980026526,3,2017/09/01,3528,0,52920.00,0
980026526,3,2017/10/01,72,0,1080.00,0
AARG-1295,3,2017/10/01,2600,0,10816.00,0
AIRA-1028,2,2016/11/01,2,0,8.00,0
AIRA-1028,3,2016/11/01,896,0,6681.52,0
AIRA-1028,3,2017/02/01,24,0,180.00,0
AIRA-1028,3,2016/02/01,1032,0,6469.20,0
AIRA-1028,3,2016/03/01,1248,0,8959.60,0
AIRA-1028,3,2016/04/01,832,0,5921.20,0
AIRA-1028,3,2016/08/01,2425,0,14975.40,0
AIRA-1028,3,2016/12/01,984,0,5719.20,0
AIRA-1028,3,2017/01/01,312,0,2019.20,0
AIRA-1028,3,2017/10/01,2656,0,14665.12,0
AIRA-1028,3,2017/11/01,920,0,6560.00,0
AIRA-1028,3,2018/02/01,224,0,1687.20,0
AIRA-1028,3,2017/07/01,649,0,4639.20,0
AIRA-1028,3,2017/08/01,1128,0,8017.60,0
AIRA-1028,3,2016/07/01,1384,0,8028.72,0
AIRA-1028,3,2016/10/01,1208,0,8579.84,0
AIRA-1028,3,2016/05/01,776,0,5084.35,0
AIRA-1028,3,2017/05/01,832,0,5259.04,0
AIRA-1028,3,2017/09/01,584,0,3626.40,0
AIRA-1028,3,2018/01/01,112,0,767.20,0
AIRA-1028,3,2017/03/01,1504,0,9920.00,0
AIRA-1028,3,2017/04/01,960,0,6722.40,0
AIRA-1028,3,2016/01/01,544,0,3950.80,0
AIRA-1028,3,2017/06/01,336,0,2390.40,0
AIRA-1028,3,2017/12/01,96,0,720.00,0
AIRA-1028,3,2016/06/01,632,0,4243.15,0
AIRA-1028,3,2016/09/01,1138,0,8369.60,0
AIRA-1028,9,2016/08/01,-12,0,-94.80,0
AIRA-1028,9,2016/06/01,-42,0,-328.60,0
AIRA-1028,9,2016/09/01,-16,0,-123.20,0
AIRA-1028,9,2016/10/01,-6,0,-47.40,0
AIRA-1028,9,2017/03/01,-11,0,-86.90,0
AIRA-1028,9,2017/02/01,-4,0,-31.60,0
AIRB-1027,3,2017/05/01,906,0,6099.12,0
AIRB-1027,3,2017/11/01,4712,0,33196.32,0
AIRB-1027,3,2017/08/01,1546,0,10603.92,0
AIRB-1027,3,2017/07/01,915,0,6119.92,0
AIRB-1027,3,2016/01/01,1136,0,7205.60,0
AIRB-1027,3,2018/01/01,5094,0,23239.51,0
AIRB-1027,3,2016/04/01,1804,0,9541.60,0
AIRB-1027,3,2016/05/01,1042,0,7932.36,0
AIRB-1027,3,2016/07/01,2916,0,17776.20,0
AIRB-1027,3,2016/08/01,2368,0,16978.76,0
AIRB-1027,3,2016/03/01,1415,0,10118.60,0
AIRB-1027,3,2016/06/01,3104,0,18174.72,0
AIRB-1027,3,2017/01/01,1256,0,7029.12,0
AIRB-1027,3,2017/02/01,1803,0,9934.40,0
AIRB-1027,3,2017/04/01,1613,0,12400.48,0
AIRB-1027,3,2017/12/01,597,0,4072.61,0
AIRB-1027,3,2016/02/01,1784,0,12257.60,0
AIRB-1027,3,2016/09/01,2994,0,21404.48,0
AIRB-1027,3,2016/10/01,4907,0,35706.16,0
AIRB-1027,3,2016/11/01,8552,0,60207.04,0
AIRB-1027,3,2016/12/01,3408,0,25792.48,0
AIRB-1027,3,2017/10/01,7906,0,54838.24,0
AIRB-1027,3,2018/02/01,160,0,1067.44,0
AIRB-1027,3,2017/03/01,2033,0,14618.48,0
AIRB-1027,3,2017/06/01,5441,0,39652.96,0
AIRB-1027,3,2017/09/01,1879,0,12522.08,0
AIRB-1027,9,2017/03/01,-5,0,-39.50,0
AIRB-1027,9,2016/09/01,-8,0,-60.00,0
AIRB4-1027,3,2017/04/01,96,0,720.00,0
AIRB4-1027,3,2017/02/01,72,0,540.00,0
AIRB4-1027,3,2017/01/01,148,0,1110.00,0
AIRB4-1027,3,2017/03/01,136,0,1020.00,0
AIRB4-1027,3,2016/12/01,244,0,1830.00,0
AIRR-1026,3,2018/02/01,128,0,989.60,0
AIRR-1026,3,2016/11/01,8560,0,65572.64,0
AIRR-1026,3,2017/02/01,2057,0,10620.00,0
AIRR-1026,3,2017/07/01,2982,0,15196.56,0
AIRR-1026,3,2016/03/01,1398,0,8168.80,0
AIRR-1026,3,2016/06/01,1976,0,11782.16,0
AIRR-1026,3,2016/10/01,6011,0,40582.48,0
