"Item Code","Source Location","Destination Location","Transfer Number","Line Number","Transfer Date","Expected Arrival Date","Transfer Quantity","Quantity to Ship","Quantity to Receive"
AKVC-1192,3,7,39,1,2016/10/17,2016/10/17,12,12,12
AKCC-1194,3,7,40,1,2016/10/18,2016/10/18,8,8,8
CAT17,5,2,67,1,2017/02/24,2017/02/24,640,0,640
ENGR-1154,3,7,80,1,2017/05/18,2017/05/18,16,16,16
PTRB-1153,3,7,80,4,2017/05/18,2017/05/18,18,18,18
SUBB-1032,3,7,80,7,2017/05/18,2017/05/18,16,16,16
SUBY-1033,3,7,80,10,2017/05/18,2017/05/18,16,16,16
TUG01R-B,3,7,80,13,2017/05/18,2017/05/18,18,18,18
TUG01R-R,3,7,80,16,2017/05/18,2017/05/18,9,9,9
CDPB-1262,3,7,82,1,2017/05/23,2017/05/23,660,660,660
CSCO-1106,3,7,82,4,2017/05/23,2017/05/23,660,660,660
SUBB-1032,3,7,82,7,2017/05/23,2017/05/23,396,396,396
SUBY-1033,3,7,82,10,2017/05/23,2017/05/23,396,396,396
TUG01R-B,3,7,82,13,2017/05/23,2017/05/23,396,396,396
TUG01R-R,3,7,82,16,2017/05/23,2017/05/23,396,396,396
CSCO-1106,3,5,94,1,2017/07/17,2017/07/17,396,396,396
CSTA-1109,3,7,96,1,2017/07/24,2017/07/24,6,6,6
SUBA-1034,3,7,96,4,2017/07/24,2017/07/24,8,8,8
PTRB-1153,3,7,96,7,2017/07/24,2017/07/24,8,8,8
SNDB-1017,9,2,105,1,2017/11/20,2017/11/20,12,12,12
