Juma Ventures
Budget Income Statement for Custom Record
From Jan 2018 to Dec 2018

Options: Activity Only
Financial Row ,Account (Line): Internal ID ,Account (Line): Account Type ,Department: Name ,Location: Name ,Jan 2018 ,Feb 2018 ,Mar 2018 ,Apr 2018 ,May 2018 ,Jun 2018 ,Jul 2018 ,Aug 2018 ,Sep 2018 ,Oct 2018 ,Nov 2018 ,Dec 2018 ,Total 
  ,,,,,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount ,Amount 
Ordinary Income/Expense,,,,,,,,,,,,,,,,,
Income,,,,,,,,,,,,,,,,,
5100 - Revenue from program-related sales & fees,,,,,,,,,,,,,,,,,
5110 - Concessions Sales,,,,,,,,,,,,,,,,,
,54,Income,ENT,AT&T Park,$0.00,$0.00,$0.00,"$119,680.00","$55,280.00","$118,640.00","$98,560.00","$104,560.00","$104,560.00",$0.00,$0.00,$0.00,"$601,280.00"
,54,Income,ENT,Levi's Stadium,$0.00,$0.00,$0.00,$0.00,"$14,000.00","$14,000.00","$14,000.00","$43,200.00","$59,600.00","$45,600.00","$30,400.00","$30,400.00","$251,200.00"
,54,Income,ENT,Safeco Field,$0.00,$0.00,$0.00,"$72,600.00","$72,600.00","$67,760.00","$38,720.00","$72,600.00","$67,760.00",$0.00,$0.00,$0.00,"$392,040.00"
,54,Income,ENT,UW,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,"$30,800.00","$46,200.00","$30,800.00",$0.00,"$107,800.00"
Total - 5110 - Concessions Sales,,,,,$0.00,$0.00,$0.00,"$192,280.00","$141,880.00","$200,400.00","$151,280.00","$220,360.00","$262,720.00","$91,800.00","$61,200.00","$30,400.00","$1,352,320.00"
5120 - Staffing Services,,,,,,,,,,,,,,,,,
,476,Income,ENT,AA Center,"$42,336.00","$29,736.00","$38,808.00","$14,616.00","$3,024.00","$2,016.00","$5,040.00","$5,040.00","$8,568.00","$35,784.00","$37,296.00","$38,304.00","$260,568.00"
,476,Income,ENT,AT&T Park,$0.00,$0.00,$0.00,"$39,206.25","$19,280.25","$39,298.50","$33,763.50","$35,424.00","$35,424.00","$2,214.00",$738.00,$0.00,"$205,348.50"
,476,Income,ENT,Avaya Stadium,$0.00,"$5,000.00","$7,500.00","$7,500.00","$5,000.00","$7,500.00","$5,000.00","$5,000.00","$7,500.00",$0.00,$0.00,$0.00,"$50,000.00"
,476,Income,ENT,BBVA Compass Stadium,$0.00,$0.00,"$12,750.00","$9,000.00","$9,000.00","$5,250.00","$12,750.00","$6,000.00","$9,000.00","$3,000.00",$0.00,$0.00,"$66,750.00"
,476,Income,ENT,CenturyLink Field,$0.00,$0.00,"$6,160.00","$12,320.00","$6,160.00","$6,160.00","$12,320.00","$13,860.00","$10,780.00","$10,780.00","$4,620.00","$4,620.00","$87,780.00"
,476,Income,ENT,Coliseum,$0.00,$0.00,"$7,380.00","$14,760.00","$14,760.00","$18,450.00","$14,760.00","$22,652.50","$26,598.75","$3,946.25","$7,892.50","$7,892.50","$139,092.50"
